Year,SouthernFlounderSSBkg,StripedMulletSSBKg,SpottedSeaTroutSSBkg,ProportionAdultKingfishesLargerL50,StripedBassSSBkg,BlueCrabSSB,AmShadAlbSoundJAI,RedDrumJuvSeineSurveyCPUE,BluebackHerringProportionReturnSpawner,AlewifeProportionReturnSpawner,SheepsheadCPUEJuv
1950,NA,3222000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,2657000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,2019000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,1539000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,1392000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,1392000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,1370000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,1296000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,1245000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,1185000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,1119000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,923000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,913000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,883000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,905000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,1025000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,1125000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,1186000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,1307000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,1399000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,1494000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,1573000,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,1712000,NA,NA,NA,NA,NA,NA,0.22,0.15,NA
1973,NA,1751000,NA,NA,NA,NA,NA,NA,0.17,0.14,NA
1974,NA,1798000,NA,NA,NA,NA,NA,NA,0.18,0.04,NA
1975,NA,1658000,NA,NA,NA,NA,NA,NA,0.06,0.1,NA
1976,NA,1576000,NA,NA,NA,NA,NA,NA,0.11,0.08,NA
1977,NA,1491000,NA,NA,NA,NA,NA,NA,0.09,0.05,NA
1978,NA,1460000,NA,NA,NA,NA,NA,NA,0.06,0.08,NA
1979,NA,1447000,NA,NA,NA,NA,NA,NA,0.16,0.09,NA
1980,NA,1432000,NA,NA,NA,NA,NA,NA,0.19,0.18,NA
1981,NA,1345000,NA,NA,NA,NA,NA,NA,0.48,0.29,NA
1982,NA,1423000,NA,NA,NA,NA,NA,NA,0.11,0.01,NA
1983,NA,1456000,NA,NA,NA,NA,NA,NA,0.14,0.02,NA
1984,NA,1553000,NA,NA,NA,NA,NA,NA,0.07,0.34,NA
1985,NA,1531000,NA,NA,NA,NA,NA,NA,0.1,0.12,NA
