Year,InvertCommCatchWeight,FinfishCommCatchWeight,MenhadenCommCatchWeight
1972,9055908.488,21209855.67,38415622.74
1973,8154339.957,21396387.19,30364822.86
1974,10298342.34,24117370.02,54974279.92
1975,7756684.015,26972875.45,69764808.73
1976,8746472.108,27024894.29,61190690.24
1977,8778987.851,30628513.99,71721663.13
1978,12757937.7,31517153.74,87236704.92
1979,15401161.16,38000858.02,115362048.8
1980,21240128.96,42012028.26,89321504.47
1981,19395995.8,30322543.58,140348037.1
1982,21696339.55,29136143.79,84828548.7
1983,19576909.16,24951535.12,80727328.6
1984,18244982.97,29380272.96,71516707.59
1985,19834483.19,27568188.13,44333357.69
1986,14650142.09,27076715.76,30108498.48
1987,17973235.55,23534327.5,25173707.82
1988,20687060.61,27361760.39,33436857.69
1989,20664036.73,20726602.84,30280118.19
1990,21598981.92,18894077.56,32763852.35
1991,24452560.49,18182250.8,50134958.58
1992,21591930.38,19798896.23,26088666.84
1993,23391394.26,21190836.73,29352566.09
1994,28003122.63,21765616.1,33499538.66
1995,25496312.88,21658660.57,26478016.15
1996,33202704.43,23997718.39,24426356.94
1997,29051761.57,21730179.33,44328211.24
1998,30720834.52,19748823.25,26297656.18
1999,30560021.19,18046996.87,19413320.3
2000,23529435.91,19118524.71,25528208.56
2001,17444083.74,18013622.68,25406774.73
2002,22039151.68,16623464.14,31384300.82
2003,22564129.99,16975481.47,22197205.82
2004,18108490.33,17450395.02,22941768.46
2005,13019087.14,15505315.87,6072427.973
2006,14548302.72,14826327.65,436650.7924
2007,14493394.05,12358453.78,514467.6751
2008,19641843.32,11046266.56,292671.6198
2009,16360266.03,12270659.69,963762.3445
2010,17252015.2,12664115.82,589284.0468
2011,16508623.47,10710866.2,1601181.121
2012,15370959.85,8819558.933,244391.7409
2013,12699007.93,8600558.366,206024.208
2014,14607562.7,11903431.6,416354.3648
2015,19237632.52,10583702.64,407471.6726
2016,18046963.96,9394325.454,180549.574
2017,15613690.99,9226284.954,341463.604
2018,12561845.54,8368884.49,323854.709
2019,15239784.02,8981976.22,250314.2916
2020,10981383.85,8552738.482,272038.1733
2021,10615998.01,8564691.538,195327.1478
