,Year,CPUE_Summer,CPUE_Fall,MPUE_Summer,MPUE_Fall,SppRichness_Summer,SppRichness_Fall,DtoPBioMRatio_Summer,DtoPBioMRatio_Fall,shannonwiener_Summer,shannonwiener_Fall
1,1987,446.3937001,204.6054625,23.04029226,9.514803245,14.40384615,13.84313725,84.04718688,93.9608614,1.607506969,1.555652596
2,1988,479.2660044,461.7772542,13.58624727,14.97401935,12.48,18.80769231,159.2683235,37.10153638,1.320510103,1.799947354
3,1989,472.8848493,364.864578,18.21442093,14.09738493,12.83673469,18.42307692,109.8980277,80.93024794,1.355852398,1.677170679
4,1990,967.6070207,472.825837,20.40199327,10.28419331,13.49019608,18.60416667,108.4554166,125.9218984,1.044298952,1.66215093
5,1991,671.6004415,307.3613551,19.05751654,9.187097347,14,16.2244898,85.87022422,30.4830629,1.411871373,1.639701165
6,1992,255.0772627,516.3148455,9.465154535,19.01600437,12.26,18.35416667,354.0490632,80.38699907,1.509444977,1.608576105
7,1993,783.3614682,670.912736,27.26403494,16.9815742,13.17647059,14.26530612,251.4600526,38.01036043,1.246482687,1.196304809
8,1994,433.0408389,656.9128515,20.76429362,19.39385974,10.82,20.15217391,674.8855023,135.9885014,1.332091038,1.603830067
9,1995,549.8344371,529.7900617,23.33339975,17.58203811,12.8,20.59183673,168.1351695,419.4784228,1.229596186,1.82753816
10,1996,435.7007704,742.0991575,13.37115376,25.20587241,11.24489796,18.40816327,525.2772393,149.6399103,1.308448684,1.605536621
11,1997,527.1357616,417.0750552,14.4134547,13.81234,12.06,16.26,137.2519613,56.10980687,1.387692677,1.557423542
12,1998,604.2586461,877.4672121,14.74604493,30.3715427,8.8125,18.29411765,389.1553753,31.55901376,0.913945091,1.290727364
13,1999,1235.629572,1008.638555,32.12485389,33.27806687,15.29411765,19.42857143,218.0410348,624.9849021,1.400771009,1.604202007
14,2000,544.0949227,604.4039735,23.25410603,18.08796906,16.24,20.54,98.3616337,39.2766714,1.501080968,1.785314822
15,2001,419.1335541,482.0916115,16.28374713,15.31491724,11.82,16.88,120.4056172,594.0902125,1.298073567,1.555582169
16,2002,485.4801325,537.831689,13.19137967,18.11294314,16.86,18.08163265,580.8031143,153.578648,1.451420055,1.587065392
17,2003,755,667.5662252,21.53752759,22.59290283,11.3,16.54,206.9983646,126.8441108,0.984748193,1.327506114
18,2004,755.4376055,835.5684327,18.82936197,26.63065123,10.8627451,19.08,218.0694262,89.39957715,1.151333997,1.451217328
19,2005,441.8389873,894.512772,12.09612793,24.66122671,12.04081633,18.34693878,136.2923907,318.2084531,1.247585431,1.21768209
20,2006,694.7582565,610.6458036,29.71413873,24.04317627,14.58823529,17.82352941,110.5057631,82.86205324,1.229842667,1.493634326
21,2007,367.5496689,832.3702549,12.75283983,22.11924852,12.5625,19.43137255,77.98080159,94.55966833,1.207494381,1.436497252
22,2008,1218.781111,1166.125611,20.69521268,25.9888975,15.96078431,21.45098039,66.6760548,26.81217084,1.270395843,1.553193641
23,2009,367.609185,1031.586807,13.3718889,28.70700233,14.8627451,22.05882353,132.9414467,105.6656146,1.263518923,1.630335332
24,2010,1486.533134,1000.167727,29.74639654,22.086558,15.94117647,19.23529412,52.33571116,45.18891319,1.290644128,1.253950073
25,2011,619.1890664,450.4285158,17.57121365,18.3627148,15.1372549,21.58823529,105.2645038,36.99530235,1.330277391,1.627469832
26,2012,1533.145046,1114.144592,28.1145522,34.32997786,20.58823529,19.14,147.718212,267.8624816,1.136095366,1.325681404
27,2013,1287.213782,1097.292559,25.51325592,29.34512828,19.25490196,20.92156863,100.3891686,77.20590798,1.124347114,1.290461531
28,2014,728.6283167,668.3786097,21.25739627,18.96293427,15.50980392,18.28571429,77.21860377,60.07074685,1.213966222,1.457947862
29,2015,670.1077782,608.7629312,21.50736922,23.86381642,13.98039216,20.92156863,198.4218256,150.0225765,1.151075625,1.562527854
30,2016,593.607973,621.8985047,18.43576053,25.10828519,15.94117647,18.56862745,88.17201212,133.4037064,1.263241607,1.465613026
31,2017,1330.211444,1102.329784,26.63522703,28.5592185,16.98039216,20.8627451,184.7904537,711.9522169,1.115488271,1.313449195
32,2018,712.3785105,834.5341755,17.46434265,27.79674597,14.14583333,22.46296296,636.3114741,107.1843514,1.09863519,1.428084165
33,2019,1131.754967,907.7791575,25.80794702,28.86592935,14.92,22,220.8349993,58.57421485,1.228176253,1.594575554
34,2020,594.9006623,1071.459368,15.6786755,29.09017143,14.36,19.59375,26.27797208,117.1979869,1.153702913,1.176446727
35,2021,629.0442191,769.4352465,16.51587507,14.57873436,12.65625,15.5,48.91630782,21.56093573,1.187931243,1.335695008
