Data Source,Indicator,Abbreviated name for multivariate analyses
1,Sea Level,"DuckSLR, BeaufortSLR, WilmingtonSLR"
2,Tropical Storms and Hurricanes,NumNCStorms
3,Albemarle Sound temperature,Albemarle_Temp
4,Cape Fear River temperature,CapeFear_Temp
5,Chowan River temperature,Chowan_Temp
6,Neuse River temperature,Neuse_Temp
7,New River temperature,New_Temp
8,Pamlico River temperature,Pamlico_Temp
9,Pamlico Sound temperature,NA
10,Albemarle Sound salinity,Albemarle_Salinity
11,Cape Fear River salinity,CapeFear_Salinity
12,Chowan River salinity,Chowan_Salinity
13,Neuse River salinity,Neuse_Salinity
14,New River salinity,New_Salinity
15,Pamlico River salinity,Pamlico_Salinity
16,Pamlico Sound salinity,NA
17,Albemarle Sound dissolved oxygen,Albemarle_DO
18,Cape Fear River dissolved oxygen,CapeFear_DO
19,Chowan River dissolved oxygen,Chowan_DO
20,Neuse River dissolved oxygen,Neuse_DO
21,New River dissolved oxygen,New_DO
22,Pamlico River dissolved oxygen,Pamlico_DO
23,Pamlico Sound dissolved oxygen,NA
24,Albemarle Sound pH,Albemarle_pH
25,Cape Fear River pH,CapeFear_pH
26,Chowan River pH,Chowan_pH
27,Neuse River pH,Neuse_pH
28,New River pH,New_pH
29,Pamlico River pH,Pamlico_pH
30,Air Temperature Hatteras ,AirTemp_Hatteras
31,Air Temperature New Bern,AirTemp_NewBern
32,Air Temperature New River,AirTemp_NewRiver
33,Air Temperature Wilmington,AirTemp_Wilmington
34,Sea Surface Temperature North of Cape Hatteras,SST_OregonInlet
35,Sea Surface Temperature South of Cape Hatteras,SST_CapeLookout
36,Albemarle Sound river flow,Albemarle_RiverFlow
37,Pamlico Sound river flow,Pamlico_RiverFlow
38,Cape Fear River river flow,CapeFear_RiverFlow
39,Albemarle Sound nitrogen loading,Albemarle_TotNLoad
40,Pamlico Sound nitrogen loading,PamlicoSound_TotNLoad
45,Cape Fear River nitrogen loading,CapeFear_TotNLoad
46,Albemarle Sound flow-normalized nitrogen loading,Albemarle_FlowNorm_NLoad
47,Pamlico Sound flow-normalized nitrogen loading,PamlicoSound_FlowNorm_NLoad
48,Cape Fear River flow-normalized nitrogen loading,CapeFear_FlowNorm_NLoad
