"","Year","Long","Lat","temp"
"1",1981,-76.125,34.625,20.824999480951
"2",1982,-76.125,34.625,21.8270406226589
"3",1983,-76.125,34.625,21.6879995241557
"4",1984,-76.125,34.625,21.7691252010116
"5",1985,-76.125,34.625,23.0162460640685
"6",1986,-76.125,34.625,22.966081642778
"7",1987,-76.125,34.625,22.9363830670918
"8",1988,-76.125,34.625,22.0855732928208
"9",1989,-76.125,34.625,22.8671501786741
"10",1990,-76.125,34.625,23.4586296133799
"11",1991,-76.125,34.625,23.2645747772635
"12",1992,-76.125,34.625,22.7845896475953
"13",1993,-76.125,34.625,22.712163883366
"14",1994,-76.125,34.625,22.8642460548714
"15",1995,-76.125,34.625,23.0959720925109
"16",1996,-76.125,34.625,22.056611540539
"17",1997,-76.125,34.625,22.7026295701118
"18",1998,-76.125,34.625,22.7763830054296
"19",1999,-76.125,34.625,23.302465193239
"20",2000,-76.125,34.625,23.321748087315
"21",2001,-76.125,34.625,22.9987939860723
"22",2002,-76.125,34.625,23.1852323244696
"23",2003,-76.125,34.625,22.8967666469208
"24",2004,-76.125,34.625,22.5213109782485
"25",2005,-76.125,34.625,22.6835885661922
"26",2006,-76.125,34.625,22.5719994897712
"27",2007,-76.125,34.625,23.3805748351633
"28",2008,-76.125,34.625,22.357267244266
"29",2009,-76.125,34.625,22.4737803524488
"30",2010,-76.125,34.625,21.8279173106363
"31",2011,-76.125,34.625,22.2564652743405
"32",2012,-76.125,34.625,22.9184147673226
"33",2013,-76.125,34.625,22.2328487814289
"34",2014,-76.125,34.625,23.203643354651
"35",2015,-76.125,34.625,23.3260542987144
"36",2016,-76.125,34.625,23.4337153096017
"37",2017,-76.125,34.625,23.3250131711568
"38",2018,-76.125,34.625,23.4446022059819
"39",2019,-76.125,34.625,22.9230131750237
"40",2020,-76.125,34.625,23.383332851806
"41",2021,-76.125,34.625,22.8492871741726
"42",2022,-76.125,34.625,23.3940268477348
"43",2023,-76.125,34.625,23.2355885074563
"44",1981,-75.375,34.125,25.6613928685423
"45",1982,-75.375,34.125,25.286081690331
"46",1983,-75.375,34.125,25.3726295993753
"47",1984,-75.375,34.125,25.2351633238662
"48",1985,-75.375,34.125,25.0788487473579
"49",1986,-75.375,34.125,24.8833693360629
"50",1987,-75.375,34.125,25.0379994431587
"51",1988,-75.375,34.125,24.383223512785
"52",1989,-75.375,34.125,24.9394241646545
"53",1990,-75.375,34.125,24.9881638670621
"54",1991,-75.375,34.125,24.9030679572118
"55",1992,-75.375,34.125,24.7650814473303
"56",1993,-75.375,34.125,24.7980816148732
"57",1994,-75.375,34.125,24.9227665470071
"58",1995,-75.375,34.125,24.8558624737883
"59",1996,-75.375,34.125,24.5663382577114
"60",1997,-75.375,34.125,25.0120816478991
"61",1998,-75.375,34.125,25.0687117641919
"62",1999,-75.375,34.125,25.1495336610977
"63",2000,-75.375,34.125,25.0373765132466
"64",2001,-75.375,34.125,24.7232597507843
"65",2002,-75.375,34.125,25.1516980785213
"66",2003,-75.375,34.125,25.2226021805855
"67",2004,-75.375,34.125,25.0476770401001
"68",2005,-75.375,34.125,24.9084651947021
"69",2006,-75.375,34.125,24.9053967410571
"70",2007,-75.375,34.125,26.0214514327376
"71",2008,-75.375,34.125,25.6826770553172
"72",2009,-75.375,34.125,25.7795885059931
"73",2010,-75.375,34.125,25.5632322442042
"74",2011,-75.375,34.125,25.8503281841539
"75",2012,-75.375,34.125,25.9279775567394
"76",2013,-75.375,34.125,25.9755062625833
"77",2014,-75.375,34.125,26.2853418898909
"78",2015,-75.375,34.125,26.1116158942654
"79",2016,-75.375,34.125,26.4975403488659
"80",2017,-75.375,34.125,26.6201089937393
"81",2018,-75.375,34.125,26.1126570139846
"82",2019,-75.375,34.125,26.4590405137572
"83",2020,-75.375,34.125,26.6178955640949
"84",2021,-75.375,34.125,26.3121090353352
"85",2022,-75.375,34.125,26.5302185894692
"86",2023,-75.375,34.125,26.587424066622
