,Year,Pasquotank River,Chowan River,Roanoke River,Tar-Pamlico River,Neuse River,White Oak River,Cape Fear,Lumber River,Yadkin Pee Dee,Catawba,Broad,French Broad,Watauga,New,Little Tennessee,Hiwassee,Savannah
1,1970,97302,87354,1163519,531317,1061957,308207,1815311,324048,1426544,933369,350136,304017,36059,51109,74288,21510,62274
2,1975,107000,87000,1005600,562900,1172700,348200,2002600,364800,1548700,1014400,381000,329000,44000,59500,82500,23500,69900
3,1980,114325,88020,1053110,592464,1260594,360357,2129903,389706,1660928,1082185,404855,350024,46075,63578,89041,25552,76025
4,1981,114890,87784,1062002,598383,1281503,368284,2160565,392920,1685543,1099947,409112,353630,47398,64969,90905,25941,77894
5,1982,115928,87763,1069488,603661,1298611,376417,2185248,395082,1705143,1115106,413241,357119,48110,65787,92065,26176,79043
6,1983,117191,87952,1075149,608528,1321424,386044,2218174,398521,1719304,1123627,412289,357907,48662,66345,92765,26234,79788
7,1984,119101,88119,1082292,613701,1349802,395529,2259286,403360,1743912,1143096,418314,362375,49313,66937,93965,26551,80930
8,1985,120913,88449,1089628,619431,1381731,406687,2303210,406487,1770008,1163325,422329,365968,49797,67343,94255,26678,81415
9,1986,123375,88591,1095285,626212,1408221,416371,2342838,408804,1789738,1177217,423253,368897,50236,67480,93970,26833,81493
10,1987,125321,87937,1105181,634083,1431918,422768,2381318,413196,1819699,1198850,425153,370312,50590,67733,94623,27205,81814
11,1988,127556,87344,1111982,640271,1460439,427894,2416961,415541,1845964,1220743,428393,373042,50949,68009,94880,27442,82167
12,1989,129322,86803,1116801,645344,1489859,437424,2464680,416835,1870843,1240021,432362,375841,51603,68633,95742,27316,82753
13,1990,130451,86690,1121884,649257,1513831,443520,2495653,417894,1892237,1256667,436157,378244,51819,68751,96128,27325,83014
14,1991,131758,86927,1138449,659058,1558021,453858,2563016,424797,1938153,1291426,445113,386261,52381,69666,98351,27867,84981
15,1992,133997,87091,1151175,667611,1594787,456365,2612652,432862,1969796,1313129,452494,393328,53374,70742,99750,28148,86549
16,1993,136208,87752,1168231,676846,1635022,466675,2687780,441830,2007243,1341511,460895,401298,54186,71495,101854,28982,88494
17,1994,138223,88101,1187016,686009,1675961,472580,2752581,452155,2053792,1373716,469554,409156,55399,72949,104158,29645,90347
18,1995,139874,88686,1206729,694732,1720976,482712,2825976,460706,2103832,1410026,478217,416436,56273,73890,106594,30301,92301
19,1996,142241,89062,1223459,701764,1765991,492989,2897610,469980,2155784,1446230,486588,423461,56786,74876,108963,30691,94495
20,1997,144916,89276,1243038,710577,1811116,499603,2968672,478238,2209212,1486119,494116,430003,57865,75922,111258,31538,96312
21,1998,147649,89400,1261184,720589,1855900,507086,3036102,488469,2261702,1526036,503146,437513,57958,76590,113247,32191,98196
22,1999,149016,89500,1277396,730904,1896237,509922,3096494,496557,2314373,1568895,509907,444027,58739,77066,115567,32848,99791
23,2000,150172,89467,1288813,739185,1926108,512975,3176698,501127,2350667,1597527,515034,449096,59833,77750,116920,33039,100999
24,2001,151486,89740,1303298,748722,1983458,520513,3212091,508036,2407042,1641611,522449,455812,61144,79051,119060,33596,102676
25,2002,154244,90636,1312704,758675,2020960,527504,3265864,513345,2446484,1670409,526513,460213,61975,79747,120892,34180,104252
26,2003,157192,90858,1319390,763456,2053569,534883,3309873,517374,2481878,1697233,531547,465271,62453,80370,122709,34559,105906
27,2004,160271,91175,1326003,770362,2093115,549208,3371078,525203,2520475,1728612,536115,471038,62869,81096,124788,35280,107715
28,2005,163939,92051,1340627,776411,2143243,558502,3435513,534232,2577303,1774806,539467,474662,63509,82091,126312,35783,109053
29,2006,166965,92572,1358937,785720,2203366,573484,3527086,546250,2651322,1836298,549042,484879,64914,83868,129649,36797,111920
30,2007,169489,94455,1379114,796024,2266296,582263,3618980,556974,2724116,1895869,557306,493053,66177,85559,130927,37255,113508
31,2008,170925,94782,1398639,807639,2328296,596845,3713432,566955,2781191,1938405,565168,499324,67487,87290,132395,37486,115115
32,2009,171164,94951,1415239,817675,2382529,612407,3797739,575145,2822893,1969973,571218,504726,67967,88210,133636,37663,116612
33,2010,172011,95039,1424589,823198,2421032,612803,3846124,580656,2855699,1993183,576400,509156,68866,89450,135072,38038,117878
34,2011,171739,93563,1431246,821134,2461591,626844,3923074,582415,2886509,2020178,579465,513046,69362,89450,135209,38050,117687
35,2012,171434,91646,1435256,817763,2495923,625303,3975871,581347,2916319,2046473,582003,516420,69627,89645,135535,37888,117819
36,2013,171159,90374,1437956,812980,2523321,640312,4024796,580208,2955005,2081800,585271,521127,69565,89435,135761,37913,118017
37,2014,171297,89272,1443832,809222,2553937,642118,4068817,579358,2989872,2109792,589348,525816,69557,89411,136400,37862,118596
38,2015,171294,87983,1447222,806787,2586809,644839,4118083,579869,3027616,2143257,593554,531060,69940,89596,137220,38091,119483
39,2016,171958,86061,1455831,804952,2624942,649406,4180168,579850,3070520,2178126,599012,538213,71022,90583,139640,39013,121464
40,2017,172753,84997,1462191,805635,2659835,656437,4234491,581880,3109652,2210920,603062,543005,71953,91533,140746,39426,122695
41,2018,173801,84043,1470059,804773,2697670,661569,4298807,584019,3141581,2238123,606767,547242,72556,92283,141382,39886,123517
42,2019,174964,82570,1473901,806691,2736556,666854,4355515,587185,3173608,2265985,610485,550215,72250,92030,142194,40116,124123
43,2020,172125,81143,1476632,806112,2758992,668059,4390229,588133,3195033,2282861,613602,553180,71892,91551,142133,39863,124198
44,2021,175007,78599,1479568,810190,2805063,681284,4446852,598588,3235745,2318729,615881,556319,72151,92367,140917,39976,123023
