Estimate Status,Year,Species_group,Sub_group,Released_alive_B2,PSE
FINAL,1981,BLUEFISH,BLUEFISH,3498306,20.1
FINAL,1981,CARTILAGINOUS FISHES,DOGFISH SHARKS,478085,58.9
FINAL,1981,CARTILAGINOUS FISHES,OTHER SHARKS,707551,65.3
FINAL,1981,CARTILAGINOUS FISHES,SKATES/RAYS,683885,60.1
FINAL,1981,CATFISHES,SALTWATER CATFISHES,35935,95.9
FINAL,1981,DRUMS,ATLANTIC CROAKER,1803849,42.5
FINAL,1981,DRUMS,KINGFISHES,298085,43.8
FINAL,1981,DRUMS,OTHER DRUM,2031,99.6
FINAL,1981,DRUMS,RED DRUM,10497,96.8
FINAL,1981,DRUMS,SILVER PERCH,293832,100.1
FINAL,1981,DRUMS,SPOT,2771801,66.1
FINAL,1981,DRUMS,WEAKFISH,78196,87.1
FINAL,1981,FLOUNDERS,OTHER FLOUNDERS,73299,81.8
FINAL,1981,FLOUNDERS,SUMMER FLOUNDER,652369,27.7
FINAL,1981,GRUNTS,OTHER GRUNTS,146,75.8
FINAL,1981,GRUNTS,PIGFISH,805724,53.8
FINAL,1981,GRUNTS,WHITE GRUNT,639,100.6
FINAL,1981,HERRINGS,HERRINGS,69139,78.5
FINAL,1981,JACKS,FLORIDA POMPANO,34727,51.2
FINAL,1981,JACKS,OTHER JACKS,11119,58.9
FINAL,1981,MULLETS,MULLETS,22647,94.6
FINAL,1981,OTHER FISHES,OTHER FISHES,69731,55.2
FINAL,1981,PORGIES,PINFISHES,609548,36.5
FINAL,1981,PORGIES,RED PORGY,138,93.5
FINAL,1981,PORGIES,SHEEPSHEAD,12772,78.9
FINAL,1981,PUFFERS,PUFFERS,75136,53.1
FINAL,1981,SEA BASSES,BLACK SEA BASS,1577235,46.7
FINAL,1981,SEA BASSES,MYCTEROPERCA GROUPERS,17894,99.4
FINAL,1981,SEA BASSES,OTHER SEA BASSES,18078,63
FINAL,1981,SEAROBINS,SEAROBINS,186951,33.8
FINAL,1981,TEMPERATE BASSES,STRIPED BASS,3340,103.3
FINAL,1981,TEMPERATE BASSES,WHITE PERCH,858784,69.2
FINAL,1981,TOADFISHES,TOADFISHES,252235,69.4
