Estimate Status,Year,Species,Sub_group,Total_catch_(A+B1+B2),PSE
FINAL,1981,BLUEFISH,BLUEFISH,10619461,11.9
FINAL,1981,CARTILAGINOUS FISHES,DOGFISH SHARKS,568384,58.1
FINAL,1981,CARTILAGINOUS FISHES,OTHER SHARKS,750807,61.6
FINAL,1981,CARTILAGINOUS FISHES,SKATES/RAYS,862602,59.6
FINAL,1981,CATFISHES,SALTWATER CATFISHES,63698,79.9
FINAL,1981,DOLPHINS,DOLPHINS,46046,66.6
FINAL,1981,DRUMS,ATLANTIC CROAKER,4982026,38.1
FINAL,1981,DRUMS,KINGFISHES,1210991,36.2
FINAL,1981,DRUMS,OTHER DRUM,5412,71.5
FINAL,1981,DRUMS,RED DRUM,47877,44.2
FINAL,1981,DRUMS,SILVER PERCH,655724,85.9
FINAL,1981,DRUMS,SPOT,20764618,71.1
FINAL,1981,DRUMS,SPOTTED SEATROUT,132606,42.6
FINAL,1981,DRUMS,WEAKFISH,1701752,17.3
FINAL,1981,EELS,EELS,1703,99.6
FINAL,1981,FLOUNDERS,OTHER FLOUNDERS,73299,81.8
FINAL,1981,FLOUNDERS,SOUTHERN FLOUNDER,18988,78.3
FINAL,1981,FLOUNDERS,SUMMER FLOUNDER,3515250,30.4
FINAL,1981,GRUNTS,OTHER GRUNTS,43172,98.2
FINAL,1981,GRUNTS,PIGFISH,2553497,60.3
FINAL,1981,GRUNTS,WHITE GRUNT,33661,72.3
FINAL,1981,HERRINGS,HERRINGS,76696,71.1
FINAL,1981,JACKS,BLUE RUNNER,9172,99
FINAL,1981,JACKS,CREVALLE JACK,17400,54.5
FINAL,1981,JACKS,FLORIDA POMPANO,301470,37
FINAL,1981,JACKS,GREATER AMBERJACK,772,120.9
FINAL,1981,JACKS,OTHER JACKS,35663,52.2
FINAL,1981,MULLETS,MULLETS,45022,58.7
FINAL,1981,OTHER FISHES,OTHER FISHES,179179,34.1
FINAL,1981,PORGIES,OTHER PORGIES,2386,56.5
FINAL,1981,PORGIES,PINFISHES,821715,31.4
FINAL,1981,PORGIES,RED PORGY,51393,92.8
FINAL,1981,PORGIES,SCUP,858,92.8
FINAL,1981,PORGIES,SHEEPSHEAD,96398,41.9
FINAL,1981,PUFFERS,PUFFERS,91524,45.2
FINAL,1981,SEA BASSES,BLACK SEA BASS,2621438,36.5
FINAL,1981,SEA BASSES,EPINEPHELUS GROUPERS,9,105.7
FINAL,1981,SEA BASSES,MYCTEROPERCA GROUPERS,41154,72.2
FINAL,1981,SEA BASSES,OTHER SEA BASSES,19110,60
FINAL,1981,SEAROBINS,SEAROBINS,224730,32.8
FINAL,1981,SNAPPERS,VERMILION SNAPPER,67,93.5
FINAL,1981,TEMPERATE BASSES,STRIPED BASS,1551222,69.2
FINAL,1981,TEMPERATE BASSES,WHITE PERCH,1310424,56.2
FINAL,1981,TOADFISHES,TOADFISHES,254623,68.8
FINAL,1981,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,372,60.5
FINAL,1981,TUNAS AND MACKERELS,KING MACKEREL,191655,53.8
FINAL,1981,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,17870,38.4
FINAL,1981,TUNAS AND MACKERELS,SPANISH MACKEREL,347176,70.3
FINAL,1981,WRASSES,TAUTOG,30437,49.7
FINAL,1982,BARRACUDAS,BARRACUDAS,5913,51.6
FINAL,1982,BLUEFISH,BLUEFISH,5116475,17.4
FINAL,1982,CARTILAGINOUS FISHES,DOGFISH SHARKS,61071,41.7
FINAL,1982,CARTILAGINOUS FISHES,OTHER SHARKS,38721,44.3
FINAL,1982,CARTILAGINOUS FISHES,SKATES/RAYS,111807,28.7
FINAL,1982,CATFISHES,FRESHWATER CATFISHES,1641,100.1
FINAL,1982,CATFISHES,SALTWATER CATFISHES,28564,74.8
FINAL,1982,CODS AND HAKES,OTHER CODS/HAKES,35790,68.6
FINAL,1982,DOLPHINS,DOLPHINS,18745,50.8
FINAL,1982,DRUMS,ATLANTIC CROAKER,2178756,30.2
FINAL,1982,DRUMS,BLACK DRUM,2699,98.5
FINAL,1982,DRUMS,KINGFISHES,1951709,30.1
FINAL,1982,DRUMS,OTHER DRUM,1149201,86.3
FINAL,1982,DRUMS,RED DRUM,48728,19.5
FINAL,1982,DRUMS,SILVER PERCH,142383,48.9
FINAL,1982,DRUMS,SPOT,9346654,20
FINAL,1982,DRUMS,SPOTTED SEATROUT,342781,32
FINAL,1982,DRUMS,WEAKFISH,316128,48.8
FINAL,1982,EELS,EELS,5070,111.7
FINAL,1982,FLOUNDERS,OTHER FLOUNDERS,97114,29.1
FINAL,1982,FLOUNDERS,SOUTHERN FLOUNDER,142311,55.8
FINAL,1982,FLOUNDERS,SUMMER FLOUNDER,3509092,22.1
FINAL,1982,GRUNTS,PIGFISH,646298,29.3
FINAL,1982,GRUNTS,WHITE GRUNT,140,114.1
FINAL,1982,HERRINGS,HERRINGS,198462,108.2
FINAL,1982,JACKS,CREVALLE JACK,34705,90.9
FINAL,1982,JACKS,FLORIDA POMPANO,344055,38.3
FINAL,1982,JACKS,GREATER AMBERJACK,399,101.6
FINAL,1982,JACKS,OTHER JACKS,22761,72.9
FINAL,1982,MULLETS,MULLETS,793154,46.6
FINAL,1982,OTHER FISHES,OTHER FISHES,1068287,25.5
FINAL,1982,PORGIES,OTHER PORGIES,18245,53.7
FINAL,1982,PORGIES,PINFISHES,1572342,43
FINAL,1982,PORGIES,RED PORGY,21272,54.5
FINAL,1982,PORGIES,SCUP,957,97
FINAL,1982,PORGIES,SHEEPSHEAD,61765,74.8
FINAL,1982,PUFFERS,PUFFERS,200397,24.4
FINAL,1982,SEA BASSES,BLACK SEA BASS,562639,15.3
FINAL,1982,SEA BASSES,EPINEPHELUS GROUPERS,1103,86.4
FINAL,1982,SEA BASSES,MYCTEROPERCA GROUPERS,7865,72.8
FINAL,1982,SEA BASSES,OTHER SEA BASSES,14831,66.5
FINAL,1982,SEAROBINS,SEAROBINS,196770,24.3
FINAL,1982,TEMPERATE BASSES,WHITE PERCH,77711,89.9
FINAL,1982,TOADFISHES,TOADFISHES,195263,69
FINAL,1982,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,5726,81.3
FINAL,1982,TUNAS AND MACKERELS,KING MACKEREL,177616,26.4
FINAL,1982,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,7041,58.8
FINAL,1982,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,14941,40.3
FINAL,1982,TUNAS AND MACKERELS,SPANISH MACKEREL,889793,55.5
FINAL,1982,WRASSES,OTHER WRASSES,292309,62.9
FINAL,1982,WRASSES,TAUTOG,21023,85.9
FINAL,1983,BARRACUDAS,BARRACUDAS,3533,73.8
FINAL,1983,BLUEFISH,BLUEFISH,10466367,29.6
FINAL,1983,CARTILAGINOUS FISHES,DOGFISH SHARKS,107303,42.2
FINAL,1983,CARTILAGINOUS FISHES,OTHER SHARKS,302589,76.7
FINAL,1983,CARTILAGINOUS FISHES,SKATES/RAYS,314907,32.9
FINAL,1983,CATFISHES,FRESHWATER CATFISHES,161152,83.6
FINAL,1983,CATFISHES,SALTWATER CATFISHES,3817,99.2
FINAL,1983,DOLPHINS,DOLPHINS,21325,57
FINAL,1983,DRUMS,ATLANTIC CROAKER,3372243,23.9
FINAL,1983,DRUMS,KINGFISHES,663403,28.2
FINAL,1983,DRUMS,OTHER DRUM,16806,64.2
FINAL,1983,DRUMS,RED DRUM,107986,34.8
FINAL,1983,DRUMS,SILVER PERCH,4883,100.5
FINAL,1983,DRUMS,SPOT,14151415,20.2
FINAL,1983,DRUMS,SPOTTED SEATROUT,246814,25.2
FINAL,1983,DRUMS,WEAKFISH,612741,47.3
FINAL,1983,EELS,EELS,7841,100.8
FINAL,1983,FLOUNDERS,GULF FLOUNDER,104296,105.3
FINAL,1983,FLOUNDERS,OTHER FLOUNDERS,105084,40
FINAL,1983,FLOUNDERS,SOUTHERN FLOUNDER,136158,67.1
FINAL,1983,FLOUNDERS,SUMMER FLOUNDER,2167716,20.7
FINAL,1983,GRUNTS,OTHER GRUNTS,8559,107.8
FINAL,1983,GRUNTS,PIGFISH,2128405,34.8
FINAL,1983,GRUNTS,WHITE GRUNT,2282,107.8
FINAL,1983,HERRINGS,HERRINGS,25639,27.8
FINAL,1983,JACKS,BLUE RUNNER,2839,100.9
FINAL,1983,JACKS,CREVALLE JACK,8717,24.4
FINAL,1983,JACKS,FLORIDA POMPANO,228993,72.4
FINAL,1983,JACKS,GREATER AMBERJACK,659,100.5
FINAL,1983,MULLETS,MULLETS,1815124,71.3
FINAL,1983,OTHER FISHES,OTHER FISHES,1171534,31.6
FINAL,1983,PORGIES,OTHER PORGIES,89287,57.6
FINAL,1983,PORGIES,PINFISHES,601730,33.7
FINAL,1983,PORGIES,RED PORGY,20265,39
FINAL,1983,PORGIES,SHEEPSHEAD,5930,100.5
FINAL,1983,PUFFERS,PUFFERS,112767,52.6
FINAL,1983,SEA BASSES,BLACK SEA BASS,1609838,40.1
FINAL,1983,SEA BASSES,EPINEPHELUS GROUPERS,6419,107.8
FINAL,1983,SEA BASSES,MYCTEROPERCA GROUPERS,9129,107.8
FINAL,1983,SEA BASSES,OTHER SEA BASSES,42330,84
FINAL,1983,SEAROBINS,SEAROBINS,25681,41.8
FINAL,1983,SNAPPERS,OTHER SNAPPERS,8559,107.8
FINAL,1983,SNAPPERS,VERMILION SNAPPER,41937,107.8
FINAL,1983,TEMPERATE BASSES,STRIPED BASS,23524,99.5
FINAL,1983,TEMPERATE BASSES,WHITE PERCH,246804,39.4
FINAL,1983,TUNAS AND MACKERELS,ATLANTIC MACKEREL,30365,38.7
FINAL,1983,TUNAS AND MACKERELS,KING MACKEREL,115637,47.5
FINAL,1983,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,85196,88.2
FINAL,1983,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,36063,49.9
FINAL,1983,TUNAS AND MACKERELS,SPANISH MACKEREL,10275,47
FINAL,1983,WRASSES,OTHER WRASSES,46002,89.1
FINAL,1983,WRASSES,TAUTOG,30009,27.5
FINAL,1984,BARRACUDAS,BARRACUDAS,1639,127.5
FINAL,1984,BLUEFISH,BLUEFISH,6395351,22.2
FINAL,1984,CARTILAGINOUS FISHES,DOGFISH SHARKS,540057,43.2
FINAL,1984,CARTILAGINOUS FISHES,OTHER SHARKS,189612,71
FINAL,1984,CARTILAGINOUS FISHES,SKATES/RAYS,1540409,65.8
FINAL,1984,DOLPHINS,DOLPHINS,1639,75.7
FINAL,1984,DRUMS,ATLANTIC CROAKER,6942524,23.2
FINAL,1984,DRUMS,KINGFISHES,1006960,36.7
FINAL,1984,DRUMS,RED DRUM,427815,22.8
FINAL,1984,DRUMS,SILVER PERCH,6453,104.6
FINAL,1984,DRUMS,SPOT,12210679,25.6
FINAL,1984,DRUMS,SPOTTED SEATROUT,197214,33.5
FINAL,1984,DRUMS,WEAKFISH,590741,37.1
FINAL,1984,EELS,EELS,10353,58.5
FINAL,1984,FLOUNDERS,OTHER FLOUNDERS,49918,62.4
FINAL,1984,FLOUNDERS,SOUTHERN FLOUNDER,30193,62.3
FINAL,1984,FLOUNDERS,SUMMER FLOUNDER,2437632,23.6
FINAL,1984,GRUNTS,OTHER GRUNTS,11475,75.7
FINAL,1984,GRUNTS,PIGFISH,705091,27.4
FINAL,1984,GRUNTS,WHITE GRUNT,191040,74.6
FINAL,1984,HERRINGS,HERRINGS,26425,54.9
FINAL,1984,JACKS,BLUE RUNNER,2578,102.2
FINAL,1984,JACKS,CREVALLE JACK,25659,78
FINAL,1984,JACKS,FLORIDA POMPANO,463737,40.2
FINAL,1984,JACKS,GREATER AMBERJACK,754,101.3
FINAL,1984,JACKS,OTHER JACKS,171244,89.7
FINAL,1984,MULLETS,MULLETS,1757729,34.6
FINAL,1984,OTHER FISHES,OTHER FISHES,73438,30
FINAL,1984,PORGIES,OTHER PORGIES,32093,40.5
FINAL,1984,PORGIES,PINFISHES,1450515,36.6
FINAL,1984,PORGIES,RED PORGY,181003,55.3
FINAL,1984,PORGIES,SHEEPSHEAD,21156,93.9
FINAL,1984,PUFFERS,PUFFERS,72935,32.6
FINAL,1984,SEA BASSES,BLACK SEA BASS,1100725,28.9
FINAL,1984,SEA BASSES,MYCTEROPERCA GROUPERS,25553,60.7
FINAL,1984,SEA BASSES,OTHER SEA BASSES,214716,35.9
FINAL,1984,SEAROBINS,SEAROBINS,15384,47.8
FINAL,1984,SNAPPERS,RED SNAPPER,11475,127.5
FINAL,1984,TEMPERATE BASSES,STRIPED BASS,8801,69.6
FINAL,1984,TOADFISHES,TOADFISHES,27011,38.2
FINAL,1984,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,1639,127.5
FINAL,1984,TUNAS AND MACKERELS,KING MACKEREL,131026,36.8
FINAL,1984,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,5518,53
FINAL,1984,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,3277,54
FINAL,1984,TUNAS AND MACKERELS,SPANISH MACKEREL,564259,48.6
FINAL,1985,BLUEFISH,BLUEFISH,4988396,17.8
FINAL,1985,CARTILAGINOUS FISHES,DOGFISH SHARKS,187802,26.5
FINAL,1985,CARTILAGINOUS FISHES,OTHER SHARKS,176099,42.1
FINAL,1985,CARTILAGINOUS FISHES,SKATES/RAYS,262635,48.4
FINAL,1985,CATFISHES,SALTWATER CATFISHES,70894,92.6
FINAL,1985,CODS AND HAKES,RED HAKE,3988,102.6
FINAL,1985,DOLPHINS,DOLPHINS,23535,52.1
FINAL,1985,DRUMS,ATLANTIC CROAKER,3551722,33.2
FINAL,1985,DRUMS,BLACK DRUM,17735,58.4
FINAL,1985,DRUMS,KINGFISHES,1269931,26.6
FINAL,1985,DRUMS,OTHER DRUM,432841,57.5
FINAL,1985,DRUMS,RED DRUM,57702,33.3
FINAL,1985,DRUMS,SPOT,26996089,29.4
FINAL,1985,DRUMS,SPOTTED SEATROUT,316916,27.1
FINAL,1985,DRUMS,WEAKFISH,1013411,17.9
FINAL,1985,EELS,EELS,14833,53
FINAL,1985,FLOUNDERS,OTHER FLOUNDERS,6058,78.8
FINAL,1985,FLOUNDERS,SOUTHERN FLOUNDER,216,99.2
FINAL,1985,FLOUNDERS,SUMMER FLOUNDER,2489212,38.5
