Estimate_status,Year,Species_group,Sub_group,Total_harvest_(A+B1),PSE,Total_weight_lb,PSE,Total_weight_kg,PSE
FINAL,1981,BLUEFISH,BLUEFISH,7121155,13,6391900,10.6,2899347,10.6
FINAL,1981,CARTILAGINOUS FISHES,DOGFISH SHARKS,90299,77.1,91705,83.3,41597,83.3
FINAL,1981,CARTILAGINOUS FISHES,OTHER SHARKS,43257,52.9,1136050,85.1,515309,85.1
FINAL,1981,CARTILAGINOUS FISHES,SKATES/RAYS,178717,82.7,208426,87.6,94541,87.6
FINAL,1981,CATFISHES,SALTWATER CATFISHES,27763,63.1,53431,79.5,24236,79.5
FINAL,1981,DOLPHINS,DOLPHINS,46046,66.6,283042,66.4,128387,66.4
FINAL,1981,DRUMS,ATLANTIC CROAKER,3178177,50,1703800,52.7,772838,52.7
FINAL,1981,DRUMS,KINGFISHES,912907,38.3,615248,45.3,279075,45.3
FINAL,1981,DRUMS,OTHER DRUM,3380,97.6,4471,97.6,2028,97.6
FINAL,1981,DRUMS,RED DRUM,37380,53.5,98426,61.1,44646,61.1
FINAL,1981,DRUMS,SILVER PERCH,361893,75.4,110675,77.4,50202,77.4
FINAL,1981,DRUMS,SPOT,17992817,72.1,5983808,68.8,2714237,68.8
FINAL,1981,DRUMS,SPOTTED SEATROUT,132606,42.6,235405,44.4,106779,44.4
FINAL,1981,DRUMS,WEAKFISH,1623557,17.6,1130066,21.6,512595,21.6
FINAL,1981,EELS,EELS,1703,99.6,0,.,0,.
FINAL,1981,FLOUNDERS,SOUTHERN FLOUNDER,18988,78.3,27647,87.6,12541,87.6
FINAL,1981,FLOUNDERS,SUMMER FLOUNDER,2862881,35.6,1806863,26.4,819588,26.4
FINAL,1981,GRUNTS,OTHER GRUNTS,43026,98.5,21584,98,9790,98
FINAL,1981,GRUNTS,PIGFISH,1747773,68.7,765505,70.8,347231,70.8
FINAL,1981,GRUNTS,WHITE GRUNT,33023,73.5,40930,69.1,18566,69.1
FINAL,1981,HERRINGS,HERRINGS,7557,71.7,2770,78.9,1257,78.9
FINAL,1981,JACKS,BLUE RUNNER,9172,99,3370,99,1529,99
FINAL,1981,JACKS,CREVALLE JACK,17400,54.5,16478,82.5,7474,82.5
FINAL,1981,JACKS,FLORIDA POMPANO,266744,36.5,85455,36,38762,36
