Year,Annual Average Flux (kg P/d),Winter Average Flux (kg P/d),Spring Average Flux (kg P/d),Summer Average Flux (kg P/d),Fall Average Flux (kg P/d),Flow Normalized Annual Average Flux (kg P/d),Flow Normalized Winter Average Flux (kg P/d),Flow Normalized Spring Average Flux (kg P/d),Flow Normalized Summer Average Flux (kg P/d),Flow Normalized Fall Average Flux (kg P/d)
1974,3671.60065,5075.413564,3392.589533,3996.62183,2249.262616,3652.007629,5781.179026,2969.557807,2471.353948,3424.808136
1975,5784.044604,11309.31704,2849.494083,6394.307066,2671.277556,3531.346502,5575.043126,2873.495698,2384.152846,3329.971973
1976,2471.42426,4305.366104,2003.276887,662.0046653,2929.894976,3417.742016,5370.116879,2782.238401,2301.982051,3230.94455
1977,2567.505094,4741.453995,1803.468527,1224.826797,2539.22607,3293.962721,5167.908559,2693.062983,2220.89441,3128.191368
1978,3971.240398,8044.299815,4895.417303,1617.489994,1426.34465,3177.462161,4961.52977,2606.555569,2149.104759,3025.237117
1979,4436.77538,7715.991023,3458.6975,2930.409651,3702.659364,3068.357506,4756.530456,2519.824083,2097.572832,2930.239743
1980,2296.77971,4936.763335,2372.621068,781.4664509,1125.787825,2965.172707,4562.33017,2430.599123,2052.024811,2827.286547
1981,1510.254328,1978.547949,946.7007363,1689.80514,1430.018199,2838.76679,4392.753452,2348.614846,1970.787449,2671.365994
1982,2979.835508,5295.657794,3573.415253,1280.307652,1826.75725,2721.479145,4227.351931,2294.013095,1891.182512,2501.459037
1983,2974.084583,5625.717226,2896.835168,825.0810392,2605.509419,2607.918412,4046.411883,2259.782345,1818.57944,2334.387489
1984,3320.866936,6004.396049,3407.266533,2846.395341,1055.517742,2507.561332,3829.482607,2229.65692,1778.156861,2204.29695
1985,2214.841655,3130.883822,1260.303591,1772.81851,2704.899245,2408.477065,3640.937435,2199.467018,1743.060808,2074.963768
1986,1120.003843,1582.486344,1025.62833,1000.859464,880.0693792,2277.431459,3451.010905,2086.499611,1668.773334,1926.879235
1987,2040.207503,4669.577447,2011.121171,805.5088494,731.4666032,2178.90591,3221.508789,1984.792627,1671.466786,1858.41079
1988,1269.179001,1905.285035,1106.187271,993.686626,1076.699619,2130.137171,3074.492012,1907.348823,1735.074692,1811.47627
1989,3138.765877,3363.511946,3455.087302,2354.216476,3390.571843,2089.729783,2943.863363,1833.650058,1813.238114,1783.952244
1990,1990.431107,3054.891818,2378.118224,658.3775378,1897.691289,2027.67583,2837.537094,1784.135405,1784.82032,1719.169003
1991,1510.604527,2892.15558,1520.617854,1081.025384,578.7618501,1863.325965,2681.377424,1606.388897,1584.191833,1596.33664
1992,1437.130731,1452.412411,1508.413847,880.779606,1907.857981,1800.759867,2577.31477,1492.304855,1497.644223,1640.863664
