Year,Annual Average Flux (kg N/d),Winter Average Flux (kg N/d),Spring Average Flux (kg N/d),Summer Average Flux (kg N/d),Fall Average Flux (kg N/d),Flow Normalized Annual Average Flux (kg N/d),Flow Normalized Winter Average Flux (kg N/d),Flow Normalized Spring Average Flux (kg N/d),Flow Normalized Summer Average Flux (kg N/d),Flow Normalized Fall Average Flux (kg N/d)
1974,3831.47316,6932.734993,2883.036148,4525.999531,1041.231605,4866.52357,6634.369008,4732.345074,4998.341219,3138.011941
1975,10141.90777,12343.46346,4785.055587,17451.29462,5977.450685,4798.078593,6750.571553,4668.867659,4655.743824,3158.17237
1976,3437.752425,8136.890584,1829.779936,411.1498784,3406.788927,4738.78798,6870.862525,4619.149204,4313.503457,3173.511034
1977,3763.482224,6410.834574,2427.347608,207.7896176,6050.98503,4658.02777,6978.418749,4520.797089,3994.395708,3187.45118
1978,7419.443423,12973.30287,9056.579182,5668.249498,2118.173169,4589.364855,7082.770234,4442.240989,3693.728747,3191.324744
1979,9368.51832,12311.67825,9489.918808,6953.075031,8784.702504,4526.790679,7177.868902,4367.005275,3429.407493,3188.776383
1980,3570.500755,10139.62297,3757.036207,183.9302774,274.8446296,4466.588883,7269.447179,4287.255702,3165.935295,3172.233935
1981,1323.348443,1332.83035,2727.423672,357.4837009,891.1238631,4325.681785,7323.429336,4107.408782,2804.804089,3129.880824
1982,4949.246328,9075.063543,2889.14122,3964.720785,3935.358996,4178.928495,7274.046811,3866.634342,2489.403899,3149.519609
1983,4694.250478,9922.461923,6056.770664,186.1842597,2740.051837,4067.301848,7225.490187,3649.906279,2283.367053,3174.563235
1984,5055.868495,11157.9621,5975.235065,2313.076297,853.520737,4003.873427,7215.439499,3541.149632,2181.531868,3107.251431
1985,4008.691379,6031.70583,853.9413197,1289.112216,7869.693962,3949.863762,7120.264147,3481.497383,2174.868784,3086.655542
1986,2587.760656,5868.366458,1380.17881,1359.653985,1801.034999,3933.695614,7094.274192,3439.46472,2194.094943,3070.284758
1987,4647.524348,11269.25111,5749.937975,440.8691881,1285.972461,3927.023996,7057.271278,3403.59454,2215.284198,3094.305373
1988,2195.601425,5233.386358,2206.00847,496.2103087,879.9330831,3940.863758,7100.740715,3374.90001,2202.324395,3113.684622
1989,5320.675885,7502.091884,8182.843645,2033.524783,3642.775833,3955.394304,7195.323137,3382.080855,2174.608033,3133.76676
1990,3787.18788,8278.182568,3752.852259,2337.049648,877.9241509,3954.353241,7296.938659,3417.068098,2101.947486,3068.283564
1991,2285.804347,5875.271078,2017.738079,783.7707263,541.5556273,3908.063032,7287.399473,3442.18191,2037.985678,2933.08498
1992,2957.146796,5298.981288,2747.372248,1775.074361,2030.333852,3839.073857,7113.194479,3430.919726,2003.840999,2839.492035
1993,3803.148757,9724.588401,4518.886817,186.5952974,919.0312243,3750.73238,6864.877202,3365.557775,2032.899663,2803.107001
1994,2882.566485,8080.209614,2529.458606,385.8361655,643.9156656,3733.95883,6643.96171,3266.621696,2200.251875,2883.181221
1995,1769.633145,3877.42877,1290.792668,786.4243296,1164.503668,3719.646807,6538.259193,3206.363059,2281.738779,2907.921208
1996,5699.935243,7367.488274,3450.05599,4364.510786,7611.356287,3685.532176,6473.88607,3181.117345,2258.800893,2853.149822
