Year,Annual Average Flux (kg P/d),Winter Average Flux (kg P/d),Spring Average Flux (kg P/d),Summer Average Flux (kg P/d),Fall Average Flux (kg P/d),Flow Normalized Annual Average Flux (kg P/d),Flow Normalized Winter Average Flux (kg P/d),Flow Normalized Spring Average Flux (kg P/d),Flow Normalized Summer Average Flux (kg P/d),Flow Normalized Fall Average Flux (kg P/d)
1974,4818.480411,13611.8349,2155.907996,750.3533538,2918.044264,4349.274682,11370.39834,2273.868265,691.6378124,3191.268668
1975,5103.088401,11653.76371,2544.908529,2071.618274,4256.662774,3721.424572,9675.93702,2058.097426,633.107953,2629.922171
1976,3111.411388,8444.755088,1004.095527,159.0395847,2872.820874,3150.358803,8085.77149,1819.277339,579.9566109,2155.607285
1977,2864.10852,7466.568089,1257.109936,96.67814964,2718.663997,2635.523687,6708.742352,1622.617197,531.9509089,1756.322669
1978,2599.144624,6078.7701,2237.619757,640.5277071,1511.375346,2197.113,5494.433844,1428.436406,489.0925554,1439.814903
1979,2708.851846,5367.475224,2285.347434,967.1122042,2268.665374,1838.038336,4515.921207,1260.930402,448.4257121,1178.817954
1980,1418.879367,4364.200259,1196.799593,50.81546773,93.30259566,1511.638847,3650.565187,1078.812748,400.6587897,935.0632325
1981,341.1771914,507.7256452,456.7362517,75.94516087,329.178403,1166.291131,2751.229422,860.8718427,355.5835278,728.6151367
1982,1027.575627,2362.644239,562.8112455,463.8458298,744.9726383,869.9476446,1934.294367,668.8405754,313.102584,584.5050779
1983,739.51826,1678.490051,823.3464948,35.28561758,442.2744834,656.132176,1331.930576,530.9744546,283.6654114,491.2891213
1984,641.2312074,1393.660712,687.0354053,326.4950449,166.4101207,544.296452,1011.575186,447.6677087,268.9818869,452.9898302
1985,540.6696442,841.8042526,135.316005,170.5663658,1017.13234,511.8351445,936.7236061,421.0329524,264.1585736,433.6751713
1986,371.0835937,833.8496008,199.7165109,189.8251796,269.1405284,502.3917927,926.308664,408.9621753,260.151619,422.3447572
1987,550.1466178,1328.445417,600.4621894,68.7385118,220.4068001,500.2333973,927.8194323,401.2269671,263.0164074,417.0899739
1988,331.2463091,793.812586,300.9290446,75.50443967,159.4375248,504.3729739,933.5241562,397.8275057,272.3530103,417.2938072
1989,617.4688498,884.322781,807.7248912,276.9178039,508.779096,504.5513889,943.3516362,395.6369555,270.7072601,416.8649872
