Year,Annual Average Flux (kg P/d),Winter Average Flux (kg P/d),Spring Average Flux (kg P/d),Summer Average Flux (kg P/d),Fall Average Flux (kg P/d),Flow Normalized Annual Average Flux (kg P/d),Flow Normalized Winter Average Flux (kg P/d),Flow Normalized Spring Average Flux (kg P/d),Flow Normalized Summer Average Flux (kg P/d),Flow Normalized Fall Average Flux (kg P/d)
1974,2125.194847,2244.018279,2191.649475,2751.487793,1316.929293,1890.786538,2317.322396,1913.603429,1696.82506,1644.915796
1975,2326.136197,3906.659081,1560.198027,2241.022773,1622.698687,1910.639337,2339.689455,1935.108877,1720.059647,1657.292517
1976,1280.483129,2212.248561,1173.296931,537.0822581,1208.267584,1931.97754,2361.249709,1959.759148,1743.353912,1668.515367
1977,1455.435463,2373.58462,1132.007039,655.0971991,1677.497231,1946.765103,2376.177101,1972.958931,1766.244548,1681.299591
1978,2104.460526,3107.05839,3312.841853,1155.215839,877.6562072,1963.443136,2392.427398,1988.491493,1788.847405,1693.604259
1979,2551.901312,3248.242882,2995.073529,1687.02484,2297.218945,1978.572027,2408.880499,1999.704632,1810.436464,1704.850749
1980,1518.254805,2679.16106,1974.573865,534.157818,902.7050144,1985.789715,2426.443465,2007.397853,1807.70639,1706.635737
1981,1164.571137,1351.351507,895.7158767,1663.348959,749.0063072,1999.226933,2441.572368,1993.882324,1837.696847,1733.314306
1982,2178.770642,3171.455273,2507.630772,1669.628111,1391.523081,2024.687363,2479.792878,1997.732936,1858.656525,1772.167728
1983,2106.678537,3372.068508,3276.011087,577.1167261,1241.736442,2027.357794,2524.846439,2001.888184,1830.86765,1762.367032
1984,2655.745963,3479.73032,2964.919836,3042.163915,1148.486716,1981.549398,2554.625581,1980.50454,1735.705654,1661.57955
1985,1404.605275,2439.328909,937.8353817,850.9313919,1407.745826,1914.748194,2533.443673,1935.648555,1635.548116,1568.029511
1986,962.7652765,1415.162924,695.0633141,1035.567074,712.1927216,1852.406285,2467.401096,1875.685486,1569.880635,1510.280409
1987,1596.000947,3259.225408,1945.766222,661.5451526,557.4258542,1793.293213,2364.004674,1805.342962,1544.910203,1471.452759
1988,1071.32723,1346.523687,1092.982394,915.9114146,933.1180722,1749.130141,2245.565111,1736.72221,1578.529005,1440.9654
1989,2565.880635,2130.152816,3413.822936,2524.305923,2194.985285,1684.148157,2128.467216,1665.228853,1560.077632,1392.27239
1990,1470.5398,2097.746714,2212.092937,820.4762865,773.5385554,1745.761632,2060.188726,1766.562594,1776.20212,1387.154558
1991,1417.508712,1704.108686,1545.763826,1843.342443,584.4444058,1740.825712,1968.333808,1964.73954,1801.961251,1235.647924
1992,1520.104033,1484.607869,1468.8444,1835.616699,1290.404165,1718.169386,1879.990257,2055.962747,1813.04334,1129.11179
1993,1367.598893,2553.78119,2082.212348,410.9641278,456.9920145,1692.532723,1843.527887,2079.776223,1816.009535,1038.308917
1994,1010.249445,1908.541714,1184.485706,603.1106552,366.2816678,1652.696793,1826.608542,2079.168819,1743.067441,970.3586241
1995,2080.721106,1909.617536,2402.293402,2294.752528,1715.996666,1584.670334,1785.270371,1981.210912,1636.064973,944.8061745
1996,2469.46249,1751.297604,1539.401629,4607.683065,1961.552166,1492.062581,1722.931458,1805.691312,1516.252868,929.2931357
1997,1013.8652,1609.695826,1363.310373,562.1577279,537.0480287,1401.902557,1640.82335,1625.871973,1427.295652,921.2476327
1998,1554.847918,3167.868469,1954.358864,777.2745525,359.2979606,1336.647443,1575.238673,1498.946088,1362.633963,916.7219284
1999,2883.37022,1311.469908,632.1379386,5826.535767,3704.695604,1284.280855,1519.026949,1401.878157,1308.788302,913.8114221
2000,1111.980021,1473.792616,844.172298,1529.160374,601.8165882,1240.225456,1472.437669,1327.125062,1254.202051,910.605647
2001,785.1762978,670.0124137,1249.036835,978.3577484,245.8365937,1197.167541,1428.443679,1258.206098,1201.258994,906.4525995
2002,699.8322825,791.5955283,493.9357383,397.6807504,1115.87396,1165.577459,1395.905406,1215.32122,1159.072355,897.5586788
2003,1863.017171,1604.343189,2379.327342,2227.034787,1241.352086,1152.229803,1374.78734,1199.375189,1148.839037,891.2683023
2004,1132.220446,975.1260667,1112.695203,1737.493173,701.6475641,1154.649393,1370.973885,1203.896381,1157.967435,888.6465175
2005,837.2678388,1016.658814,989.1208412,608.7325557,740.1095245,1156.941388,1370.347688,1215.637196,1163.541862,883.5160706
2006,1209.382064,612.9288321,1057.599403,1540.024092,1612.359742,1159.61343,1377.679549,1238.711846,1148.896878,878.7657826
2007,591.47414,1254.475566,602.3859246,297.2933967,226.2733538,1171.644481,1388.114135,1258.521311,1153.992448,891.6002053
2008,779.314495,773.6313486,853.1673345,693.8661405,797.3341314,1176.029817,1402.626368,1268.784909,1137.360585,898.8186196
2009,938.1769295,1139.443706,1084.540527,371.3135339,1163.376224,1178.905849,1413.687249,1265.876747,1132.241829,909.8668483
2010,1005.009874,1865.414444,906.7872419,378.8639823,886.610638,1188.96554,1424.60128,1275.482016,1143.273915,918.5678627
