Year,Annual Average Flux (kg N/d),Winter Average Flux (kg N/d),Spring Average Flux (kg N/d),Summer Average Flux (kg N/d),Fall Average Flux (kg N/d),Flow Normalized Annual Average Flux (kg N/d),Flow Normalized Winter Average Flux (kg N/d),Flow Normalized Spring Average Flux (kg N/d),Flow Normalized Summer Average Flux (kg N/d),Flow Normalized Fall Average Flux (kg N/d)
1982,10342.84864,15199.25921,11902.87583,6490.160608,7901.62986,10736.45158,14097.52026,13376.34047,6879.722221,8693.984532
1983,12460.76207,16075.97458,20839.92172,4550.978384,8545.843016,10634.29546,13884.69198,13307.11784,6854.594519,8590.490718
1984,13191.26824,20413.9201,17740.77551,9284.726198,5453.609414,10560.33545,13716.45954,13252.88375,6831.953541,8503.61749
1985,9357.926564,11247.09255,4860.865786,7619.005034,13696.93062,10479.61454,13555.7431,13214.82085,6817.70852,8426.788554
1986,5541.405087,7813.972659,5719.052474,3785.370608,4898.559199,10425.28883,13438.23478,13195.65211,6805.521944,8357.357966
1987,15436.79604,20403.59344,24805.75105,8380.273155,8367.376823,10391.85505,13359.82258,13207.64645,6800.494057,8294.584589
1988,6015.48273,8103.240912,7240.460929,3646.074611,5108.162474,10412.11992,13347.88709,13269.04127,6813.093803,8281.421511
1989,13851.36034,11208.68607,18490.92148,12529.06473,13169.74964,10534.49184,13435.85946,13474.81414,6908.162286,8414.164723
1990,13764.58009,19028.50361,18314.91545,6173.382404,11705.4122,10758.95628,13683.13822,13789.78685,7035.166651,8624.246374
1991,10545.69853,18336.71355,15074.57588,4488.954752,4501.146779,10978.76302,13980.61312,14104.65465,7140.272079,8788.746914
1992,9719.44437,10211.22021,14117.66747,5612.324354,8989.717609,10897.79813,14082.93562,14002.47264,7029.006483,8545.145287
1993,14138.94355,22047.38478,22624.80147,4314.402986,7833.345195,10484.26137,13594.3649,13466.92983,6805.311734,8170.470284
1994,11051.48384,19199.69082,13379.68466,6847.664422,4981.336928,10157.9062,12985.01606,12988.76927,6674.977286,8075.091333
1995,10048.16221,10673.22603,9022.728434,10877.04756,9622.089142,9966.590836,12430.67794,12713.32286,6635.245279,8170.540158
1996,14815.96211,15678.38288,13203.26204,14911.15728,15462.89102,9783.993797,11859.71446,12438.52355,6624.636618,8264.516324
1997,9937.019497,15475.08059,13918.4464,5156.512776,5361.707242,9678.357066,11330.79886,12110.59157,6685.013464,8649.384354
1998,11782.98137,21448.43135,18568.64623,4296.086653,3102.636962,9973.792594,11518.70505,12278.19339,6917.505543,9239.399282
1999,6859.711173,7195.691198,6282.300264,5987.687774,7974.193162,10194.55427,11956.48886,12384.50784,6980.64847,9518.678659
2000,7252.399338,8396.23135,10509.99703,5967.728112,4183.482483,10367.24106,12223.74969,12497.85568,7020.122504,9770.57468
2001,5675.806275,5377.154171,9659.174748,4716.02682,2987.674406,10553.86829,12495.18759,12672.42934,7061.418513,10051.66816
2002,5080.910384,2974.492321,2889.205803,3203.943894,11186.38494,10800.94267,12847.50391,12931.36498,7121.252152,10371.29687
2003,23609.06905,17217.84524,32688.46974,26256.93329,18232.77743,11098.62975,13278.34275,13258.68644,7195.839198,10732.51455
2004,12864.1393,11456.41848,10247.44718,11877.43179,17831.51615,11457.24402,13796.40386,13659.17139,7290.138848,11132.62162
2005,9516.249428,13767.49828,10356.89278,4830.639788,9211.522738,11834.5757,14361.50199,14103.28867,7386.191565,11566.91368
2006,9197.529042,7652.114839,4143.695769,6766.300611,18139.47602,12262.67644,14998.42834,14608.45733,7497.046751,12031.74381
2007,8094.283146,15971.27331,10337.79592,3024.232094,3239.456189,12726.31925,15691.3001,15163.11637,7616.258582,12525.54499
2008,5962.975934,4145.704749,10799.18063,4067.389812,4872.44304,13239.30337,16451.23334,15770.40767,7749.177441,13048.8193
2009,14230.80662,10586.07832,16924.79623,3999.239587,25363.16162,13755.59387,17236.95048,16414.65084,7877.020577,13598.33806
2010,14564.02464,33134.03127,13083.64091,3853.21094,8572.820111,14321.13148,18089.4811,17111.24785,8017.998385,14178.04659
2011,7832.125153,7717.194615,9848.972976,4009.474232,9772.282558,14921.52115,18996.60115,17856.18443,8165.982116,14787.80412
2012,6446.06963,10301.05868,8106.517317,3795.148074,3641.50485,15577.0371,19978.50014,18651.33469,8327.947389,15431.62443
2013,14388.9889,14921.66579,20902.58933,13530.63245,8283.447959,16231.9838,20982.83375,19497.71196,8483.480174,16102.6857
2014,15264.83438,25394.87074,21289.09679,4815.074503,9845.994772,16945.34573,22067.23135,20398.65372,8653.429285,16810.94985
2015,17616.41657,14587.41032,11838.12584,4453.995721,39457.47894,17700.05724,23216.65738,21356.53377,8831.219838,17555.48836
2016,24327.85435,45481.83417,25126.96692,7262.091977,19679.14489,18522.37597,24460.37095,22367.63668,9024.602047,18343.23394
2017,16177.56609,12901.46546,43659.68914,3905.60646,4471.002449,19342.59491,25725.18128,23455.45204,9211.674529,19161.52864
2018,41894.80991,7431.543491,30041.21506,22407.52977,106820.9065,20235.45794,27092.38404,24603.40794,9415.088838,20027.49226
2019,29228.45461,67661.62216,29864.64908,4826.933093,15403.0329,21179.74166,28540.82194,25822.13551,9627.839693,20938.65376
2020,40095.36088,40095.36088,NaN,NaN,NaN,30022.70615,30022.70615,NaN,NaN,NaN
