Year,Annual Average Flux (kg N/d),Winter Average Flux (kg N/d),Spring Average Flux (kg N/d),Summer Average Flux (kg N/d),Fall Average Flux (kg N/d),Flow Normalized Annual Average Flux (kg N/d),Flow Normalized Winter Average Flux (kg N/d),Flow Normalized Spring Average Flux (kg N/d),Flow Normalized Summer Average Flux (kg N/d),Flow Normalized Fall Average Flux (kg N/d)
1974,4029.107664,8414.762923,2962.536492,2739.309498,2083.568908,3987.241303,6823.618244,3653.48931,2475.323659,3054.566627
1975,6169.999729,12989.35399,2682.97693,6177.490119,2940.522286,4059.569793,6946.793966,3751.27185,2516.000105,3083.627927
1976,2927.74046,6261.808908,1712.128709,1034.280336,2725.77059,4140.044943,7069.581659,3852.367832,2555.673467,3111.272681
1977,3383.566729,6646.122181,2136.250302,820.4599274,3988.801837,4200.157047,7184.21652,3947.19681,2595.182865,3136.153283
1978,5466.403563,10241.51332,7294.647529,2301.886924,2151.245428,4265.268506,7293.781172,4042.264795,2631.906369,3156.534968
1979,6977.991393,11679.63427,8928.750282,2794.879986,4632.114565,4323.094459,7391.131198,4133.413362,2663.965596,3168.502379
1980,3403.551135,8438.648189,3586.894739,837.9304186,807.4533767,4380.923577,7474.018155,4224.429808,2688.855847,3168.310071
1981,1420.664732,2170.190083,1590.335119,927.2301464,1013.041854,4406.519377,7528.513653,4308.515915,2708.396037,3147.456088
1982,4906.025664,8865.888313,5023.574209,2413.748745,3408.253062,4425.7944,7555.052479,4397.308074,2723.326802,3095.207962
1983,5698.365705,11701.11748,7732.463345,868.1876734,2644.298682,4410.569057,7531.072468,4445.645656,2709.928232,3023.848172
1984,6717.086852,11281.11547,9529.220795,4666.493043,1471.693776,4356.584956,7427.136563,4419.932188,2673.958752,2939.376438
1985,3801.254051,6121.659081,1448.222881,2542.972447,5117.028958,4255.062104,7179.780812,4352.904089,2648.489927,2903.717927
1986,2240.111803,3657.673344,1374.576542,2705.0079,1244.59799,4262.387442,7103.135882,4383.537864,2667.680565,2958.267711
1987,5345.359507,12182.28695,7080.983343,1098.849741,1186.812329,4321.303388,7251.067832,4444.143971,2663.751592,2991.275911
1988,2357.187932,4700.373396,2613.215774,700.4275817,1442.987296,4330.370219,7267.041854,4457.974864,2647.577748,2982.193761
