Year,Annual Average Flux (kg P/d),Winter Average Flux (kg P/d),Spring Average Flux (kg P/d),Summer Average Flux (kg P/d),Fall Average Flux (kg P/d),Flow Normalized Annual Average Flux (kg P/d),Flow Normalized Winter Average Flux (kg P/d),Flow Normalized Spring Average Flux (kg P/d),Flow Normalized Summer Average Flux (kg P/d),Flow Normalized Fall Average Flux (kg P/d)
1974,777.0523775,1294.445501,595.7483153,828.2872135,399.0054608,804.4670838,1056.226367,714.9141239,722.4266199,728.800851
1975,1162.394173,2001.888001,531.0347329,1540.203209,587.8380134,804.7173321,1068.739194,724.093722,709.0238882,721.8757866
1976,543.5681785,991.5497645,377.3142628,265.433636,543.0373081,806.401728,1082.105225,735.335003,695.9747153,714.4162815
1977,628.9090745,1002.557954,430.3393019,201.5801099,887.1233668,804.7949721,1094.341242,741.9541877,681.3675474,707.1283437
1978,943.8386259,1579.655182,1295.805627,517.9921838,399.5493385,803.7851881,1106.317658,749.4986405,666.620092,698.6910837
1979,1270.43318,1761.558574,1618.697842,709.795191,1006.143239,801.1522996,1116.198289,755.0356735,650.7135645,689.0092297
1980,544.4548318,1203.996071,632.0513907,174.8871446,175.0057844,800.691617,1124.480196,760.7619763,639.2606353,681.3490835
1981,271.019691,382.7437688,315.7853931,191.0598531,197.4051168,793.1796277,1130.659111,762.4538576,618.7184524,667.889625
1982,815.7854892,1262.471298,926.9222615,455.8208643,628.8461029,785.9104296,1140.867192,769.9464782,592.3025766,648.0684016
1983,913.7857256,1755.466235,1300.355487,151.8618781,469.9585498,775.6751366,1148.646001,773.575241,564.1161409,624.4484009
1984,1125.673134,1694.807124,1701.241907,865.5710898,253.5148381,750.238914,1130.178447,759.0490451,523.9739813,591.9797227
1985,676.9758638,901.6312436,244.5244205,439.0167394,1122.914305,715.1053369,1078.647517,726.9290577,496.199047,566.6773357
1986,347.012267,500.9835328,215.3737818,471.3194464,202.2886555,693.0399816,1035.971948,699.7358932,490.0958904,553.884019
1987,823.248152,1837.804734,1123.910649,172.4420616,184.1588121,666.8346942,998.8786385,664.8706699,479.6896758,531.096791
1988,313.3233508,584.3829176,341.576807,106.88992,223.6971612,640.0563849,957.0980376,631.8868489,472.6465736,501.9513851
1989,1119.558046,1275.168695,1662.478243,667.3423576,882.5270342,618.9708771,916.6612818,610.9976408,476.402892,478.2065586
1990,605.8573716,1021.985504,884.7233306,323.210005,205.5880624,609.1724017,890.1476012,605.0501398,487.1157174,460.4394976
1991,342.9220853,632.0321009,330.8512321,298.211777,116.7470267,595.8625885,873.2413056,592.3295384,484.2987845,439.5722948
1992,622.250655,816.6641466,376.1122931,729.3233812,566.3405722,569.4320881,840.7175187,567.2693377,460.1981541,412.4685884
1993,510.4205408,1223.978659,615.8895585,81.0332055,132.7720223,536.0016748,796.8198519,533.0249621,433.8163678,384.8724123
1994,335.7991257,881.5572132,266.8110606,136.2736411,67.50026873,507.6605412,754.9163024,501.1151964,413.6436343,365.2490891
1995,517.5208846,630.5415883,392.4646819,385.750237,660.9924069,487.0573609,722.8448953,476.1802129,399.0049252,354.2499044
1996,731.7947627,832.6181424,424.6909365,861.26212,806.3656732,472.0782327,700.0870339,458.7257712,385.8656627,345.967684
1997,342.2793378,667.458859,449.4437431,128.612575,131.8361247,456.5752532,678.0377448,438.5221275,374.1043773,340.2549354
1998,505.9477548,1533.503475,359.4213474,87.18581904,64.42586684,450.8313643,664.2640661,432.7894946,367.4639176,343.251713
1999,1101.768724,550.1665209,168.9851895,2589.143576,1076.649307,456.444385,661.8351361,433.4331862,372.9314203,361.7926919
2000,518.9547138,615.1769784,298.20892,981.6190513,179.4603891,469.8445502,666.0492881,441.6165842,388.2096289,385.3285341
2001,329.6627906,352.4244384,605.6701264,317.5321257,46.51937003,480.6273966,669.5435623,451.2632682,405.3904065,400.1000473
2002,548.7278447,324.7106497,177.7663813,497.3456154,1186.186604,488.5899477,666.7077292,466.4546093,420.7981631,404.0308135
2003,950.0135864,977.9366368,1216.447249,981.3417215,627.8317791,493.8532213,663.9496046,483.7289848,431.7374695,399.5845277
2004,596.6688308,438.7938123,282.4151275,1169.46285,490.8716997,501.4558233,664.9597403,502.5986348,443.8420438,396.2125125
2005,363.085988,579.0879041,514.2711603,102.2639569,263.0599417,505.4574804,657.2877529,514.3834804,457.1885501,396.3678182
2006,797.5082438,275.6543332,877.7994399,1028.857992,997.24929,510.4342138,656.1875113,527.7653228,466.9870193,394.1539332
2007,245.6763195,611.5020246,284.0902158,37.5683737,57.91493895,516.2084664,676.3186517,539.531788,462.8018149,389.9157814
2008,260.5636122,312.3939282,409.7699579,145.4701159,176.8056279,515.5484138,696.4260512,546.5505985,443.4424608,378.0775861
2009,351.4471136,522.5009546,323.2737532,35.34525661,528.0808194,509.1867658,713.5841218,552.6207747,413.2994277,362.1582686
2010,370.9855383,878.9881137,381.3645689,46.15532644,188.590494,508.8380148,743.6696181,560.9033667,385.0748611,351.3751759
2011,230.6907301,203.2849003,192.4683736,340.0103905,185.9880167,524.2296414,784.4943742,571.4576581,384.3613911,362.7764191
2012,245.6265197,279.5217182,290.7763501,294.6212441,118.4459514,546.8996384,822.7992519,586.9729119,398.482095,382.7787829
2013,428.3131709,458.6206331,546.408439,521.291848,188.8742655,555.2999645,842.8522647,585.2224153,407.7375977,391.9639612
