Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
1950,NORTH CAROLINA,ALEWIFE,6422500,2913,128459,Public,Commercial,Alosa pseudoharengus,161706,ACCSPHIST
1950,NORTH CAROLINA,"BASS, BLACK SEA",75600,34,6140,Public,Commercial,Centropristis striata,167687,ACCSPHIST
1950,NORTH CAROLINA,"BASS, STRIPED",796800,361,165207,Public,Commercial,Morone saxatilis,167680,ACCSPHIST
1950,NORTH CAROLINA,BLUEFISH,1272200,577,181088,Public,Commercial,Pomatomus saltatrix,168559,ACCSPHIST
1950,NORTH CAROLINA,"BONITO, ATLANTIC",7800,4,235,Public,Commercial,Sarda sarda,172409,ACCSPHIST
1950,NORTH CAROLINA,BOWFIN,26000,12,520,Public,Commercial,Amia calva,161104,ACCSPHIST
1950,NORTH CAROLINA,"CARP, COMMON",795100,361,46992,Public,Commercial,Cyprinus carpio,163344,ACCSPHIST
1950,NORTH CAROLINA,"CATFISHES-BULLHEADS, OTHER **",671300,304,53805,Public,Commercial,Siluridae,164066,ACCSPHIST
1950,NORTH CAROLINA,"CLAMS, QUAHOG, MERCENARIA **",836400,379,157132,Public,Commercial,Mercenaria,81495,ACCSPHIST
1950,NORTH CAROLINA,COBIA,3700,2,370,Public,Commercial,Rachycentron canadum,168566,ACCSPHIST
1950,NORTH CAROLINA,"COD, ATLANTIC",700,0,65,Public,Commercial,Gadus morhua,164712,ACCSPHIST
1950,NORTH CAROLINA,"CRAB, BLUE",6889300,3125,291641,Public,Commercial,Callinectes sapidus,98696,ACCSPHIST
1950,NORTH CAROLINA,"CROAKER, ATLANTIC",2095800,951,103406,Public,Commercial,Micropogonias undulatus,169283,ACCSPHIST
1950,NORTH CAROLINA,"DRUM, BLACK",100000,45,5191,Public,Commercial,Pogonias cromis,169288,ACCSPHIST
1950,NORTH CAROLINA,"DRUM, RED",200900,91,20793,Public,Commercial,Sciaenops ocellatus,169290,ACCSPHIST
1950,NORTH CAROLINA,"EEL, AMERICAN",174600,79,21490,Public,Commercial,Anguilla rostrata,161127,ACCSPHIST
1950,NORTH CAROLINA,FLATFISHES **,1839700,834,277923,Public,Commercial,Pleuronectiformes,172702,ACCSPHIST
1950,NORTH CAROLINA,"HARVESTFISH, NORTHERN",468300,212,28952,Public,Commercial,Peprilus paru,172566,ACCSPHIST
1950,NORTH CAROLINA,HARVESTFISHES **,39900,18,2393,Public,Commercial,Peprilus,172564,ACCSPHIST
1950,NORTH CAROLINA,"HERRING, ATLANTIC THREAD",32000,15,240,Public,Commercial,Opisthonema oglinum,161748,ACCSPHIST
1950,NORTH CAROLINA,HOGFISH,4400,2,132,Public,Commercial,Lachnolaimus maximus,170566,ACCSPHIST
1950,NORTH CAROLINA,KINGFISHES **,1398600,634,126800,Public,Commercial,Menticirrhus,169273,ACCSPHIST
1950,NORTH CAROLINA,"MACKEREL, SPANISH",147500,67,23725,Public,Commercial,Scomberomorus maculatus,172436,ACCSPHIST
1950,NORTH CAROLINA,MACKERELS **,1400,1,140,Public,Commercial,Scomber,172411,ACCSPHIST
1950,NORTH CAROLINA,MENHADENS **,124904900,56656,1221468,Public,Commercial,Brevoortia ,161731,ACCSPHIST
1950,NORTH CAROLINA,"MULLET, STRIPED",3220800,1461,357194,Public,Commercial,Mugil cephalus,170335,ACCSPHIST
1950,NORTH CAROLINA,"OYSTER, EASTERN",1322100,600,555686,Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1950,NORTH CAROLINA,"PERCH, SAND",1000,0,50,Public,Commercial,Diplectrum formosum,167793,ACCSPHIST
1950,NORTH CAROLINA,"PERCH, WHITE",510200,231,50913,Public,Commercial,Morone americana,167678,ACCSPHIST
1950,NORTH CAROLINA,"PERCH, YELLOW",34900,16,3490,Public,Commercial,Perca flavescens,168469,ACCSPHIST
1950,NORTH CAROLINA,PIGFISH,270000,122,9243,Public,Commercial,Orthopristis chrysoptera,169077,ACCSPHIST
1950,NORTH CAROLINA,PIKES **,5500,2,935,Public,Commercial,Esocidae,162137,ACCSPHIST
1950,NORTH CAROLINA,PINFISH,432900,196,2171,Public,Commercial,Lagodon rhomboides,169187,ACCSPHIST
1950,NORTH CAROLINA,"POMPANO, FLORIDA",27900,13,9402,Public,Commercial,Trachinotus carolinus,168708,ACCSPHIST
1950,NORTH CAROLINA,PORGIES **,59400,27,4198,Public,Commercial,Sparidae,169180,ACCSPHIST
1950,NORTH CAROLINA,"PUFFER, NORTHERN",50600,23,5380,Public,Commercial,Sphoeroides maculatus,173290,ACCSPHIST
1950,NORTH CAROLINA,"SCALLOP, BAY",71600,32,38906,Public,Commercial,Argopecten irradians,79737,ACCSPHIST
1950,NORTH CAROLINA,SEAROBINS **,200,0,4,Public,Commercial,Triglidae,166972,ACCSPHIST
1950,NORTH CAROLINA,"SEATROUT, SPOTTED",482000,219,143719,Public,Commercial,Cynoscion nebulosus,169239,ACCSPHIST
1950,NORTH CAROLINA,"SHAD, AMERICAN",1100300,499,339970,Public,Commercial,Alosa sapidissima,161702,ACCSPHIST
1950,NORTH CAROLINA,"SHAD, HICKORY",294900,134,13684,Public,Commercial,Alosa mediocris,161704,ACCSPHIST
1950,NORTH CAROLINA,"SHARKS, CHONDRICHTHYES (CLASS) **",5500,2,550,Public,Commercial,Chondrichthyes,159785,ACCSPHIST
1950,NORTH CAROLINA,SHEEPSHEAD,7200,3,558,Public,Commercial,Archosargus probatocephalus,169189,ACCSPHIST
1950,NORTH CAROLINA,"SHRIMP, MARINE **",8311200,3770,1999358,Public,Commercial,Dendrobranchiata,95600,ACCSPHIST
1950,NORTH CAROLINA,SPOT,5172300,2346,234090,Public,Commercial,Leiostomus xanthurus,169267,ACCSPHIST
1950,NORTH CAROLINA,"SQUIDS, LOLIGINIDAE **",800,0,16,Public,Commercial,Loliginidae,82369,ACCSPHIST
1950,NORTH CAROLINA,STURGEONS **,10800,5,2620,Public,Commercial,Acipenseridae,161064,ACCSPHIST
1950,NORTH CAROLINA,SUCKERS **,1200,1,24,Public,Commercial,Catostomidae,163892,ACCSPHIST
1950,NORTH CAROLINA,SUNFISHES **,12300,6,369,Public,Commercial,Centrarchidae,168093,ACCSPHIST
1950,NORTH CAROLINA,"TERRAPIN, DIAMONDBACK",700,0,175,Public,Commercial,Malaclemys terrapin,173780,ACCSPHIST
1950,NORTH CAROLINA,"TREEFROG, GREEN",5000,2,1250,Public,Commercial,Ranidae ,1094181,ACCSPHIST
1950,NORTH CAROLINA,"TUNA, LITTLE TUNNY",133200,60,3996,Public,Commercial,Euthynnus alletteratus,172402,ACCSPHIST
1950,NORTH CAROLINA,"TURTLES, SNAPPING",21300,10,2652,Public,Commercial,Chelydra serpentina,173752,ACCSPHIST
1950,NORTH CAROLINA,WEAKFISH,1567400,711,155245,Public,Commercial,Cynoscion regalis,169241,ACCSPHIST
1951,NORTH CAROLINA,ALEWIFE,12534500,5686,129267,Public,Commercial,Alosa pseudoharengus,161706,ACCSPHIST
1951,NORTH CAROLINA,"BASS, BLACK SEA",94000,43,9818,Public,Commercial,Centropristis striata,167687,ACCSPHIST
1951,NORTH CAROLINA,"BASS, STRIPED",702200,319,134110,Public,Commercial,Morone saxatilis,167680,ACCSPHIST
1951,NORTH CAROLINA,BLUEFISH,925900,420,104901,Public,Commercial,Pomatomus saltatrix,168559,ACCSPHIST
