Year,Angler Trips,PSE,Estimate Status
1981,6759130,10,FINAL
1982,6862191,7.2,FINAL
1983,10272113,10,FINAL
1984,9387842,7.4,FINAL
1985,8873553,7.1,FINAL
1986,9171802,8,FINAL
1987,9033255,6.2,FINAL
1988,10480270,6.7,FINAL
1989,10672633,4.9,FINAL
1990,12112788,5.8,FINAL
1991,11226071,4.2,FINAL
1992,11866004,4.6,FINAL
1993,10862180,3.8,FINAL
1994,10530255,3.7,FINAL
1995,9991653,3.4,FINAL
1996,10423321,3.4,FINAL
1997,11155069,3.3,FINAL
1998,11108817,3.5,FINAL
1999,12682792,3.6,FINAL
2000,15327944,3.9,FINAL
2001,15109488,3.9,FINAL
2002,15096859,4,FINAL
2003,15476042,3.8,FINAL
2004,17400870,4.2,FINAL
2005,17150375,4.6,FINAL
2006,19614943,4.9,FINAL
2007,18146146,4.3,FINAL
2008,19328098,4.1,FINAL
2009,19345187,4.3,FINAL
2010,20173323,4,FINAL
2011,19468850,3.9,FINAL
2012,18555348,3.7,FINAL
2013,18085862,4,FINAL
2014,18926498,4.5,FINAL
2015,20322840,5.8,FINAL
2016,21158845,5.8,FINAL
2017,22452276,7.8,FINAL
2018,16624306,5.2,FINAL
2019,17539840,5,FINAL
2020,16399233,4.9,FINAL
2021,17944614,6.1,FINAL
2022,16050572,7.2,PRELIMINARY
