Year,Common Name,Total Harvest (A+B1),PSE Harvest,Released (B2),PSE Released,Estimate Status
1981,ALL SPECIES,40960645,32.4,16030869,15.6,FINAL
1982,ALL SPECIES,24255662,9,7843562,15.2,FINAL
1983,ALL SPECIES,33420274,12.1,8248603,14.4,FINAL
1984,ALL SPECIES,29159939,12.7,10715507,10.5,FINAL
1985,ALL SPECIES,43539769,17.9,12912223,13.7,FINAL
1986,ALL SPECIES,32471203,12.2,13379969,11.1,FINAL
1987,ALL SPECIES,27869956,12.9,12701702,9.4,FINAL
1988,ALL SPECIES,32122713,10.5,18927988,8.7,FINAL
1989,ALL SPECIES,31860384,7.3,14661067,7.7,FINAL
1990,ALL SPECIES,30547194,8.6,17794105,8.8,FINAL
1991,ALL SPECIES,25513632,7.7,21896152,6.4,FINAL
1992,ALL SPECIES,22047492,9.8,23975805,6.1,FINAL
1993,ALL SPECIES,19959271,9.6,18868785,4.9,FINAL
1994,ALL SPECIES,27207990,20.1,26574243,4.4,FINAL
1995,ALL SPECIES,20285150,9.3,21402764,4.4,FINAL
1996,ALL SPECIES,17648224,7.9,21126385,4.2,FINAL
1997,ALL SPECIES,17611273,5.8,24463398,4.1,FINAL
1998,ALL SPECIES,21495068,16.5,27618324,5.3,FINAL
1999,ALL SPECIES,18797344,8,30867860,5.6,FINAL
2000,ALL SPECIES,22583865,9.6,37480759,5,FINAL
2001,ALL SPECIES,29434711,7,41169692,4.9,FINAL
2002,ALL SPECIES,33091965,8.3,40029463,4.6,FINAL
2003,ALL SPECIES,33999155,7,37896160,4.7,FINAL
2004,ALL SPECIES,29896716,5.2,40866383,3.9,FINAL
2005,ALL SPECIES,31216077,7.8,40759376,4.9,FINAL
2006,ALL SPECIES,32644305,14.1,54354928,4.6,FINAL
2007,ALL SPECIES,32030304,7.5,49000158,3.9,FINAL
2008,ALL SPECIES,24399919,5.3,51181826,4,FINAL
2009,ALL SPECIES,28373054,5.4,58585443,3.9,FINAL
2010,ALL SPECIES,28339719,4.8,66210770,3.7,FINAL
2011,ALL SPECIES,28913463,5.6,61538383,3.4,FINAL
2012,ALL SPECIES,24849140,4.3,59475261,2.8,FINAL
2013,ALL SPECIES,37097381,5.1,71387944,3.3,FINAL
2014,ALL SPECIES,35266583,8.1,79350225,4.2,FINAL
2015,ALL SPECIES,32029176,6.3,76359197,4.2,FINAL
2016,ALL SPECIES,29612816,10.9,79311111,4.8,FINAL
2017,ALL SPECIES,24992733,12.9,73343486,6,FINAL
2018,ALL SPECIES,16167033,6.3,62467785,11.4,FINAL
2019,ALL SPECIES,22991606,7.8,58780769,4.7,FINAL
2020,ALL SPECIES,18954506,5.8,53523311,4.1,FINAL
2021,ALL SPECIES,21978025,13.5,60060649,4.5,FINAL
2022,ALL SPECIES,14575528,6.6,49413356,5.1,PRELIMINARY
