Year,Coastal,PSE Catch,Non-Coastal,PSE,Out-of-State,PSE,Total,PSE,Estimate Status
1981,140119,12.7,192550,23,259802,31.2,592471,15.9,FINAL
1982,230211,11,365965,20.6,504598,44.8,1100774,21.8,FINAL
1983,231997,10.9,317065,19.9,747071,25.3,1296133,15.5,FINAL
1984,231641,11.3,252500,24.3,607455,22.1,1091596,13.7,FINAL
1985,148171,10.1,281034,17.4,503330,19,932535,11.6,FINAL
1986,138614,9.7,147722,23.7,433556,19.9,719892,13.1,FINAL
1987,330068,5.7,188609,15.2,636682,17.7,1155359,10.2,FINAL
1988,369901,4.9,250327,11.7,736897,12.9,1357125,7.4,FINAL
1989,300976,6.1,243690,14,663151,15.4,1207817,9.1,FINAL
1990,451991,5.5,235135,14,658077,12.5,1345203,6.9,FINAL
1991,368596,5.4,227230,13.5,523313,13.1,1119139,6.9,FINAL
1992,389466,3.9,226126,9.4,669137,8.5,1284729,4.8,FINAL
1993,398345,4,223772,9.2,744590,8.5,1366707,5,FINAL
1994,408851,3.9,255691,8.9,815328,7.8,1479870,4.7,FINAL
1995,342632,3.9,223424,5.4,744412,5.4,1310468,3.4,FINAL
1996,276262,4.3,179469,5.8,726828,5.2,1182559,3.4,FINAL
1997,329909,3.9,166104,5.3,859110,4.6,1355123,3.1,FINAL
1998,312246,4.5,143355,6.1,635197,5.3,1090798,3.4,FINAL
1999,324091,5.1,164398,6.1,804561,5.3,1293050,3.6,FINAL
2000,415535,5.2,229143,7.2,1277102,5.7,1921780,4,FINAL
2001,453932,4.5,251382,5.7,1301346,5.4,2006660,3.7,FINAL
2002,409410,4.6,225814,6,1129980,5.3,1765204,3.6,FINAL
2003,523825,4.8,280868,6.2,1298232,5.3,2102925,3.6,FINAL
2004,612685,4.8,289550,7.7,1155637,6.1,2057872,3.9,FINAL
2005,684989,4.8,284859,6.7,1280427,6.1,2250275,3.9,FINAL
2006,588173,5,264805,7.1,1373978,7.1,2226956,4.6,FINAL
2007,563514,5.2,265305,6.7,1079343,6.6,1908162,4.1,FINAL
2008,587297,4.8,303198,6.5,1079181,6.5,1969676,4,FINAL
2009,446471,5.6,258763,7.9,975547,8.6,1680781,5.4,FINAL
2010,544310,5.2,296275,6.7,1073445,7.3,1914030,4.4,FINAL
2011,489851,5.7,253914,7.2,755276,7.3,1499041,4.3,FINAL
2012,613652,5.2,283368,6.4,764454,6.5,1661474,3.7,FINAL
2013,563967,3.5,239784,3.9,601027,3.2,1404778,2,FINAL
2014,549094,4.2,301138,4.3,805312,3.8,1655544,2.4,FINAL
2015,478935,5.9,239256,5.9,829773,5.6,1547964,3.6,FINAL
2016,541382,4.9,281300,4.9,1066139,4.6,1888821,3,FINAL
