Year,VesselLengthRange,Count
1989,A. <18 Feet,6045
1989,B. 19 to 38 Feet,3112
1989,C. 39 to 50 Feet,252
1989,D. >50 Feet,412
1990,A. <18 Feet,5766
1990,B. 19 to 38 Feet,3046
1990,C. 39 to 50 Feet,251
1990,D. >50 Feet,408
1991,A. <18 Feet,5891
1991,B. 19 to 38 Feet,3148
1991,C. 39 to 50 Feet,244
1991,D. >50 Feet,395
1992,A. <18 Feet,3971
1992,B. 19 to 38 Feet,2358
1992,C. 39 to 50 Feet,202
1992,D. >50 Feet,258
1993,A. <18 Feet,5772
1993,B. 19 to 38 Feet,3100
1993,C. 39 to 50 Feet,240
1993,D. >50 Feet,355
1994,A. <18 Feet,6598
1994,B. 19 to 38 Feet,3940
1994,C. 39 to 50 Feet,277
1994,D. >50 Feet,385
1995,A. <18 Feet,5611
1995,B. 19 to 38 Feet,3642
1995,C. 39 to 50 Feet,239
1995,D. >50 Feet,355
1996,A. <18 Feet,5618
1996,B. 19 to 38 Feet,3795
1996,C. 39 to 50 Feet,284
1996,D. >50 Feet,377
1997,A. <18 Feet,5348
1997,B. 19 to 38 Feet,3766
1997,C. 39 to 50 Feet,278
1997,D. >50 Feet,363
1998,A. <18 Feet,5370
1998,B. 19 to 38 Feet,3718
1998,C. 39 to 50 Feet,265
1998,D. >50 Feet,348
1999,A. <18 Feet,4818
1999,B. 19 to 38 Feet,3562
1999,C. 39 to 50 Feet,240
1999,D. >50 Feet,325
