Year,Standard Commercial Fishing,Retired Standard Commercial Fishing,Shellfish for NC residents,Commercial Fishing Vessel Registration,Land or Sell,Fish Dealer,Endorsement to Sell (ETS),Tournament,Land Flounder,Ocean Pier,Spotter Plane,Menhaden for NonResidnets,Total
1994,,,,,,739,,,,,,,
1995,,,,,,753,,,,,,,
1996,,,,,,849,,,,,,,
1997,,,,,,814,,,,,,,
1998,,,,,,809,,,,,,,
1999,,,,,,868,8401,,,,,,
2000,6989,515,2097,8941,,833,,,,,,,
2001,6783,630,2176,9457,53,836,,25,133,25,14,10,20141
2002,6632,676,2304,9472,59,844,,31,135,25,11,10,20199
2003,6505,727,2131,9455,91,874,,30,141,26,11,10,20001
2004,6421,754,1835,8260,87,872,,39,135,26,10,10,19449
2005,6301,754,1623,9020,144,832,,41,140,25,10,12,18902
2006,6172,787,1529,8801,117,769,,29,140,24,9,11,18388
2007,6053,853,1626,8831,110,756,,30,144,21,9,11,18444
2008,5949,912,1706,8846,104,737,,32,151,20,9,10,18476
2009,5868,959,2129,9088,143,787,,22,145,21,9,10,19181
2010,5797,1018,2001,8916,117,834,,17,150,21,9,10,18890
2011,5748,1071,2151,8799,83,834,,17,155,21,10,12,18901
2012,5643,1121,1771,8575,72,786,,25,158,20,8,10,18189
2013,5540,1159,1712,8337,88,780,,16,161,20,0,,17813
2014,5494,1191,1428,8284,83,761,,16,158,19,0,,17434
2015,5404,1231,1319,8103,114,737,,17,158,20,0,,17103
2016,5142,1323,1110,7775,102,713,,19,157,20,0,,16361
2017,4968,1328,988,7270,109,694,,20,156,20,0,,15553
2018,4824,1340,775,7016,131,664,,25,156,19,0,,14950
2019,4545,1372,584,6634,140,683,,26,157,19,0,,14160
2020,4429,1403,571,6506,134,672,,25,157,20,0,,13917
2021,4321,1385,525,6427,131,689,,24,157,20,0,,13679
2022,4158,1391,518,6558,149,678,,21,156,19,0,,13648
2023,3530,1308,527,6128,,631,,,,,,,
