Year,Species,Pounds,Value,Dealers,Trips,Participants,Vessels,Licenses,CONF
1994,Amberjacks,151984.34,74522.21,56,1653,293,314,399,
1994,American Shad,110974.90,95703.30,115,4088,488,514,580,
1994,Bay Scallop,63953.85,120054.13,22,788,191,201,243,
1994,Blue Crab,53513123.63,29599954.07,286,121833,2059,2513,3652,
1994,Blue Runner,3813.70,572.06,22,159,55,56,59,
1994,Bluefish,1782344.71,542227.58,159,11044,1054,1159,1418,
1994,Catfishes,1276358.63,284724.75,104,16017,763,876,1120,
1994,Croaker,4615754.20,1451055.85,177,14348,1287,1495,1803,
1994,Dolphinfish,160742.27,243739.69,73,1853,403,452,571,
1994,Eels,107729.88,178950.42,53,840,152,167,185,
1994,"Finfish, Other",2659068.61,598686.27,233,24269,1997,2230,2903,
1994,Gizzard Shad,229310.15,11465.51,27,2922,178,199,232,
1994,Groupers,775425.20,1569878.01,69,4504,413,458,613,
1994,Hard Clams,690793.85,3582048.91,96,53019,1686,1760,2799,
1994,Hickory Shad,57543.11,17262.93,72,2116,351,356,407,
1994,Hog Snapper,19133.28,33392.68,32,520,100,114,144,
1994,King Mackerel,849908.90,1267065.57,89,4983,712,767,992,
1994,Kingfishes,620841.00,424307.07,151,11089,830,945,1197,
1994,Menhaden,73853901.37,3178605.12,58,1104,125,137,151,
1994,Monkfish/Goosefish,336758.97,204535.68,41,838,151,152,190,
1994,Oyster,183703.73,632633.77,141,7247,549,563,803,
1994,Porgies,250420.28,256439.39,61,3563,412,444,601,
1994,Red Drum,142168.89,102361.60,143,4066,804,893,1039,
1994,River Herring,644333.51,100998.89,55,3658,232,248,275,
1994,Scup,306048.00,114726.26,17,122,40,45,51,
1994,Sea bass,706060.79,772482.88,90,5068,578,643,856,
1994,Sharks,3147137.12,1490036.09,66,2338,353,381,470,
1994,"Sharks, Dogfishes",9877658.10,1013668.58,40,2436,212,219,295,
1994,"Shellfish, Other",845384.91,1021141.00,144,6063,664,741,915,
1994,"Shrimp, Uncl",7284793.20,18992485.63,232,21746,989,1229,1444,
1994,Snappers,450221.31,1012178.22,66,2805,342,359,494,
1994,Southern Flounder,4878605.75,8044843.57,253,42458,2196,2568,3251,
1994,Spadefish,23347.05,3969.00,34,1097,192,218,239,
1994,Spanish Mackerel,531371.21,247002.87,131,4713,658,742,837,
1994,Spot,2937310.89,980535.56,233,10895,1246,1404,1601,
1994,Spotted Seatrout,412358.08,492460.87,198,13659,1399,1570,1913,
1994,Striped Bass,261899.74,353564.65,77,3346,546,587,706,
1994,Striped Mullet,1726241.64,1058691.01,218,13649,1366,1523,1798,
1994,Summer Flounder,3592790.19,5852939.01,107,3459,456,490,652,
1994,Swordfish,96677.31,292409.60,7,142,19,19,32,
1994,Thread Herring,7252434.00,362803.20,12,39,18,18,18,
1994,Tilefishes,231583.70,335291.71,34,547,105,118,149,
1994,Triggerfishes,271502.64,187336.82,70,2326,317,348,461,
1994,Tuna,1263343.22,1894566.04,83,4101,533,554,741,
1994,Wahoo,20319.29,41718.08,47,447,192,201,248,
1994,Weakfish,3489929.89,1917948.93,180,17414,1355,1491,1842,
1994,White Perch,213337.41,166772.76,86,7404,533,604,745,
1994,Yellow Perch,67978.48,55062.57,53,4567,362,407,508,
1995,Amberjacks,171510.45,85763.84,54,1673,269,285,392,
1995,American Shad,205866.57,188540.82,113,4312,578,608,669,
1995,Bay Scallop,173795.52,345447.38,30,2108,284,291,331,
1995,Blue Crab,46443653.20,36239349.75,303,125975,2211,2797,4065,
1995,Blue Runner,2112.90,528.23,17,127,53,53,59,
1995,Bluefish,3010742.28,1078916.58,176,13898,1161,1276,1623,
1995,Catfishes,877714.79,230200.50,117,14693,792,904,1193,
1995,Croaker,6021304.28,2002304.37,197,18269,1432,1637,2041,
1995,Dolphinfish,354188.18,573863.46,89,2430,506,531,708,
1995,Eels,182850.75,368698.27,55,818,167,183,209,
1995,"Finfish, Other",2655730.38,852164.86,267,25265,1990,2215,2983,
1995,Gizzard Shad,317540.00,19052.40,23,2576,198,212,246,
1995,Groupers,773371.58,1529751.28,71,3918,382,411,605,
1995,Hard Clams,702653.60,4628829.96,83,50606,1753,1877,3151,
1995,Hickory Shad,67569.28,19301.08,70,2738,427,445,494,
1995,Hog Snapper,33506.88,55963.78,38,643,118,138,171,
1995,King Mackerel,1013319.29,1589703.58,88,4675,666,720,956,
1995,Kingfishes,1058784.66,746602.97,168,12495,937,1059,1397,
1995,Menhaden,58374080.50,3560952.99,60,964,137,141,174,
1995,Monkfish/Goosefish,535886.70,421834.37,45,751,202,175,223,
1995,Oyster,220661.17,815069.55,146,8754,582,625,879,
1995,Porgies,249062.23,263535.00,67,3017,350,384,527,
1995,Red Drum,248122.07,223309.86,168,7496,1036,1151,1384,
1995,River Herring,453984.48,134934.01,46,2912,232,241,248,
1995,Scup,24046.75,9864.93,27,124,65,66,73,
