Year,Number of Licenses,Finfish,Shrimp,Crab,Oyster,Scallop,Clam,Menhaden Dehydrate,Consolidated
2022,678,398,299,278,163,13,63,0,8
2021,689,387,320,290,168,13,66,0,29
2020,672,374,304,298,169,15,74,1,27
2019,683,384,315,295,156,11,73,1,27
2018,664,365,305,294,166,12,80,1,28
2017,694,390,313,341,160,18,89,0,29
2016,713,432,319,344,154,18,84,0,29
2015,737,475,311,358,162,21,93,1,34
2014,791,484,344,349,165,24,98,0,33
2013,780,496,355,337,169,23,93,0,36
2012,786,505,356,345,174,18,97,0,32
2011,832,515,379,371,169,26,83,0,35
2010,834,532,374,356,147,26,76,1,34
2009,788,494,340,330,134,40,73,1,35
2008,738,466,327,309,133,21,77,1,34
2007,756,478,344,331,122,21,74,0,34
2006,769,467,334,352,112,27,72,0,41
2005,832,511,380,370,108,27,69,1,41
2004,872,504,374,345,131,33,82,1,70
2003,874,498,383,334,145,31,82,1,74
2002,844,497,352,361,142,35,83,1,66
2001,836,492,339,365,139,28,79,1,72
2000,833,508,338,378,139,28,76,1,64
1999,868,,,,,,,,
1998,809,,,,,,,,
1997,814,,,,,,,,
1996,849,,,,,,,,
1995,753,,,,,,,,
1994,739,,,,,,,,
