Year,Species,Pounds,Value,Dealers,Trips,Participants,Vessels,Licenses,CONF
1994,Menhaden bait,5605871.37,448683.92,57,1002,124,133,146,
1995,Menhaden bait,2792185.50,226039.29,59,895,136,139,171,
1996,Menhaden bait,1002013.01,129882.39,77,1575,263,289,334,
1997,Menhaden bait,3446666.87,308967.36,92,2313,307,320,345,
1998,Menhaden bait,3193384.66,286851.89,78,2312,248,282,303,
1999,Menhaden bait,2651470.33,271776.44,94,3760,418,505,589,
2000,Menhaden bait,1887201.91,232169.45,82,4074,379,449,409,
2001,Menhaden bait,2868578.24,299939.21,109,5368,481,548,514,
2002,Menhaden bait,2456685.51,374033.21,112,6008,419,474,447,
2003,Menhaden bait,1710212.17,165710.84,99,4253,389,444,418,
2004,Menhaden bait,1092452.58,78836.59,95,3207,332,358,350,
2005,Menhaden bait,1503632.88,153654.39,91,3961,390,427,416,
2006,Menhaden bait,962650.64,147779.43,88,4162,355,386,385,
2007,Menhaden bait,1134208.25,139183.30,89,3059,316,344,338,
2008,Menhaden bait,645230.62,70338.55,83,1896,310,322,317,
2009,Menhaden bait,2124733.59,229648.48,82,2062,297,313,306,
2010,Menhaden bait,1299149.89,111553.98,71,1632,261,280,270,
2011,Menhaden bait,3530003.06,336530.84,71,1905,294,312,300,
2012,Menhaden bait,538791.72,82975.56,83,2166,309,332,313,
2013,Menhaden bait,454206.17,73494.04,81,2534,359,382,364,
2014,Menhaden bait,917904.97,145658.94,84,3195,359,377,364,
2015,Menhaden bait,898321.50,152434.62,80,2673,309,325,317,
2016,Menhaden bait,398043.70,73766.25,68,2580,291,294,293,
2017,Menhaden bait,752799.23,157287.98,75,2619,282,304,291,
2018,Menhaden bait,713978.14,176162.07,61,2348,254,267,261,
2019,Menhaden bait,551849.47,135682.03,48,1795,184,200,186,
2020,Menhaden bait,599742.14,122682.70,62,2107,218,223,223,
2021,Menhaden bait,430623.16,116423.76,56,1585,178,200,184,
1994,Menhaden Red,68248030.00,2729921.20,1,102,2,4,5,
1995,Menhaden Red,55581895.00,3334913.70,2,69,2,3,4,
1996,Menhaden Red,52848930.00,4728588.47,1,65,2,2,4,
1997,Menhaden Red,94280390.00,8485235.10,1,109,4,4,4,
1998,Menhaden Red,54783070.00,3834814.90,1,73,2,4,4,
1999,Menhaden Red,40147610.00,2408856.60,1,49,2,4,5,
2000,Menhaden Red,54392910.00,3263574.60,1,71,1,2,2,
2001,Menhaden Red,53143817.77,4251505.42,1,63,1,2,2,
2002,Menhaden Red,66733910.00,4671373.70,1,81,1,2,2,
2003,Menhaden Red,47226290.00,3778103.20,1,59,1,2,2,
2004,Menhaden Red,49485530.00,4453697.70,1,64,2,4,4,
2005,Menhaden Red,11883790.00,1069541.10,1,15,2,3,3,
