Year,Species,Bottom,Pounds,Value,Dealers,Trips,Participants,Vessels,Leases,CONF
1994,Bay Scallop,Private,***,***,1,1,1,1,1,*
1994,Bay Scallop,Public,***,***,22,787,190,200,,
1994,Clams,Private,47939.53,238243.28,26,1391,155,151,144,
1994,Clams,Public,642854.32,3343805.62,93,51628,1659,1730,,
1994,Oyster,Private,18573.18,63886.31,38,483,90,90,71,
1994,Oyster,Public,165130.55,568747.46,134,6764,514,528,,
1995,Bay Scallop,Public,173795.52,345447.38,30,2108,284,291,,
1995,Clams,Private,64188.38,392980.44,37,2010,210,215,215,
1995,Clams,Public,638465.22,4235849.52,79,48596,1716,1820,,
1995,Oyster,Private,25655.61,94765.46,44,787,92,99,91,
1995,Oyster,Public,195005.56,720304.09,137,7967,547,583,,
1996,Bay Scallop,Public,27388.44,105715.83,17,446,89,93,,
1996,Clams,Private,54922.27,371906.13,39,1805,240,239,162,
1996,Clams,Public,564914.72,4008714.28,83,41250,1517,1601,,
1996,Oyster,Private,28085.63,105521.56,42,890,105,112,83,
1996,Oyster,Public,182845.46,687601.18,111,7157,468,513,,
1997,Bay Scallop,Private,***,***,2,5,3,3,1,*
1997,Bay Scallop,Public,***,***,16,669,96,96,,
1997,Clams,Private,75630.96,518140.33,42,1723,192,187,183,
1997,Clams,Public,620664.09,4359881.77,84,43325,1494,1517,,
1997,Oyster,Private,35303.60,143185.83,50,958,116,116,107,
1997,Oyster,Public,183666.68,745777.01,116,7172,463,457,,
1998,Bay Scallop,Private,***,***,1,1,1,1,1,*
1998,Bay Scallop,Public,***,***,22,1058,134,139,,
1998,Clams,Private,90656.57,607877.60,42,2004,140,155,138,
1998,Clams,Public,598853.64,3951968.09,81,38816,1283,1350,,
1998,Oyster,Private,32882.53,135763.65,45,853,88,97,79,
1998,Oyster,Public,191331.48,789795.32,126,6715,475,507,,
1999,Bay Scallop,Private,***,***,1,3,1,1,1,*
1999,Bay Scallop,Public,***,***,21,438,81,81,,
1999,Clams,Private,94318.09,649828.98,39,1794,152,146,191,
1999,Clams,Public,482518.07,3123750.90,81,31095,1434,1247,,
1999,Oyster,Private,32527.14,138100.10,41,920,73,83,93,
1999,Oyster,Public,184303.92,784697.19,119,6539,488,509,,
2000,Bay Scallop,Private,***,***,2,2,2,2,2,*
2000,Bay Scallop,Public,***,***,20,339,69,69,,
2000,Clams,Private,90997.57,662800.15,48,1714,194,171,183,
2000,Clams,Public,584816.46,4017445.15,70,40275,1588,1215,,
2000,Oyster,Private,23588.73,91845.35,36,766,79,95,101,
2000,Oyster,Public,179837.83,712366.75,115,6943,531,503,,
2001,Bay Scallop,Public,2517.25,10423.00,11,56,26,21,,
2001,Clams,Private,97044.05,679622.42,47,2297,185,162,181,
2001,Clams,Public,666528.55,4327618.71,84,46462,1779,1149,,
2001,Oyster,Private,36867.77,152617.08,38,1118,82,90,100,
2001,Oyster,Public,221218.70,915734.99,130,8284,624,577,,
2002,Bay Scallop,Public,19219.40,68364.89,23,335,74,68,,
2002,Clams,Private,78913.74,478617.57,41,1871,139,121,158,
2002,Clams,Public,540806.79,3027024.65,83,33726,1363,882,,
2002,Oyster,Private,36817.08,149670.13,40,1158,77,83,88,
2002,Oyster,Public,206958.08,841333.57,127,7903,609,500,,
2003,Bay Scallop,Private,***,***,1,1,1,1,1,*
2003,Bay Scallop,Public,***,***,19,242,67,57,,
2003,Clams,Private,56171.10,398042.96,43,1570,127,109,127,
2003,Clams,Public,476855.82,2941128.57,83,29267,1159,800,,
2003,Oyster,Private,37160.93,144901.83,48,1274,88,90,88,
2003,Oyster,Public,223882.11,872984.88,131,8008,591,486,,
2004,Bay Scallop,Public,***,***,1,2,1,1,,*
2004,Clams,Private,58763.70,403865.04,40,1879,140,116,119,
2004,Clams,Public,484171.78,2953258.68,79,28550,1022,719,,
2004,Oyster,Private,54579.58,230188.42,40,1461,94,99,89,
2004,Oyster,Public,313381.66,1321681.77,129,10428,681,565,,
2005,Clams,Private,58175.19,451365.79,41,1509,138,121,122,
2005,Clams,Public,354820.25,2326591.13,74,22010,856,647,,
2005,Oyster,Private,59221.55,263606.40,33,1512,100,103,92,
2005,Oyster,Public,318792.88,1419039.15,120,10599,686,584,,
2006,Clams,Private,53140.15,373008.01,40,1451,107,92,110,
2006,Clams,Public,369152.65,2258364.68,83,23519,797,567,,
2006,Oyster,Private,63412.55,316370.89,44,1723,105,106,95,
2006,Oyster,Public,384476.30,1918186.64,129,12603,752,619,,
2007,Clams,Private,43102.61,285516.48,38,1527,111,100,107,
2007,Clams,Public,382230.77,2315141.23,78,26437,858,597,,
2007,Oyster,Private,57254.99,291145.43,47,1884,127,109,95,
2007,Oyster,Public,384160.28,1953480.42,122,13854,830,668,,
2008,Clams,Private,34959.32,263313.02,36,1463,103,80,102,
2008,Clams,Public,347090.16,2091966.30,74,21665,746,533,,
2008,Oyster,Private,51783.81,226515.67,43,1701,97,95,87,
2008,Oyster,Public,414392.57,1812659.47,141,14594,838,675,,
2009,Bay Scallop,Public,29002.76,124255.70,35,1094,208,165,,
2009,Clams,Private,37714.51,282390.72,35,1344,100,80,92,
2009,Clams,Public,312954.53,1754401.93,83,20138,713,500,,
2009,Oyster,Private,33437.30,154788.93,43,1191,95,86,90,
