YEAR,SEASON,RICHNESS
1990,spring,24.32142857
1991,spring,35.85714286
1992,spring,30.5
1993,spring,25.57142857
1994,spring,25.71428571
1995,spring,33.21428571
1996,spring,18.82142857
1997,spring,38.21428571
1998,spring,30.67857143
1999,spring,26.03571429
2000,spring,23.60714286
2001,spring,27.92857143
2002,spring,26.77857143
2003,spring,21.87142857
2004,spring,23.67857143
2005,spring,21.24285714
2006,spring,18.47857143
2007,spring,20.88571429
2008,spring,20.88095238
2009,spring,25.46428571
2010,spring,23.47142857
2011,spring,27.04285714
2012,spring,34.71428571
2013,spring,NA
2014,spring,25.95714286
2015,spring,27.76190476
2016,spring,32.53333333
2017,spring,28.82380952
2018,spring,NA
2019,spring,NA
2020,spring,NA
2021,spring,NA
2022,spring,23.47619048
1990,summer,41.67857143
1991,summer,37
1992,summer,26.53571429
1993,summer,29.28571429
1994,summer,26.46428571
1995,summer,41.10714286
1996,summer,37.25
1997,summer,20.35714286
1998,summer,29.78571429
1999,summer,23.07142857
2000,summer,28.78571429
2001,summer,31.75
2002,summer,19.92142857
2003,summer,30.12142857
2004,summer,26.02142857
2005,summer,20.97857143
2006,summer,24.58809524
2007,summer,22.46428571
2008,summer,21.03571429
2009,summer,26.92857143
2010,summer,20.77857143
2011,summer,29.33571429
2012,summer,31.59047619
2013,summer,29.55
2014,summer,29.65714286
2015,summer,30.53095238
2016,summer,28.3452381
2017,summer,31.83333333
2018,summer,30.14761905
2019,summer,33.78809524
2020,summer,NA
2021,summer,NA
2022,summer,16.34047619
1990,fall,51.53571429
1991,fall,39.92857143
1992,fall,38.28571429
1993,fall,34.35714286
1994,fall,43.71428571
1995,fall,31.89285714
1996,fall,50.14285714
1997,fall,25.46428571
1998,fall,35.75
1999,fall,44.71428571
2000,fall,34.64285714
2001,fall,30.02142857
2002,fall,35.15714286
2003,fall,28.95
2004,fall,30.26428571
2005,fall,27.96428571
2006,fall,24.4047619
2007,fall,23.35952381
2008,fall,29.91666667
2009,fall,27.86428571
2010,fall,30.49285714
2011,fall,36.52142857
2012,fall,33.47857143
2013,fall,29.99285714
2014,fall,25.74285714
2015,fall,33.41904762
2016,fall,36.03571429
2017,fall,35.58571429
2018,fall,NA
2019,fall,NA
2020,fall,NA
2021,fall,NA
2022,fall,NA
