"","Year","RelAlive"
"1",1981,3498306
"2",1982,438075
"3",1983,1609202
"4",1984,522965
"5",1985,1281466
"6",1986,115
"7",1987,631
"8",1988,14316
"9",1989,5073
"10",1990,27606
"11",1991,2688
"12",1992,9820
"13",1993,1501
"14",1994,7337
"15",1995,6602
"16",1996,4113
"17",1997,2173
"18",1998,2120
"19",1999,3767
"20",2000,3231
"21",2001,9001
"22",2002,8573
"23",2003,4213
"24",2004,8522
"25",2005,13186
"26",2006,14769
"27",2007,4989
"28",2008,17468
"29",2009,20831
"30",2010,6152
"31",2011,5286
"32",2012,6661
"33",2013,7722
"34",2014,2358
"35",2015,10494
"36",2016,5599
"37",2017,15683
"38",2018,19969
"39",2019,30700
"40",2020,15723
"41",2021,21844
"42",2022,3216
