"","Year","sum_catch"
"1",1981,56991509
"2",1982,32099223
"3",1983,41668877
"4",1984,39875445
"5",1985,56451995
"6",1986,45851173
"7",1987,40571655
"8",1988,51050698
"9",1989,46521447
"10",1990,48341294
"11",1991,47409779
"12",1992,46023299
"13",1993,38828050
"14",1994,53782230
"15",1995,41687919
"16",1996,38774611
"17",1997,42074669
"18",1998,49113391
"19",1999,49665202
"20",2000,60064629
"21",2001,70604404
"22",2002,73121425
"23",2003,71895313
"24",2004,70763100
"25",2005,71975451
"26",2006,86999231
"27",2007,81030467
"28",2008,75581746
"29",2009,86958497
"30",2010,94550490
"31",2011,90451846
"32",2012,84324401
"33",2013,108485332
"34",2014,114616807
"35",2015,108388374
"36",2016,108923931
"37",2017,98336223
"38",2018,78634820
"39",2019,81772371
"40",2020,72477810
"41",2021,82038672
"42",2022,63988883
