Year,Flow Normalized Annual Average Flux (kg P/d)
1974,3652.007629
1975,3531.346502
1976,3417.742016
1977,3293.962721
1978,3177.462161
1979,3068.357506
1980,2965.172707
1981,2838.76679
1982,2721.479145
1983,2607.918412
1984,2507.561332
1985,2408.477065
1986,2277.431459
1987,2178.90591
1988,2130.137171
1989,2089.729783
1990,2027.67583
1991,1863.325965
1992,1800.759867
1993,1871.482424
1994,1928.457703
1995,1969.45509
1996,2021.091825
1997,2081.346116
1998,2145.552334
1999,2187.779884
2000,2205.879618
2001,2198.397513
2002,2195.447892
2003,2205.846956
2004,2226.293762
2005,2215.270385
2006,2195.107458
2007,2178.010451
2008,2172.570075
2009,2187.950008
2010,2226.972094
2011,2286.846908
2012,2355.950033
2013,2373.788937
2014,2317.363179
2015,2242.793739
2016,2191.912405
2017,2128.960175
2018,2076.374466
2019,2025.861498
2020,1978.068785
