Year,Annual Average Flux kg N per d
1974,16785.31133
1975,24725.01076
1976,11785.71989
1977,12450.62419
1978,19409.94084
1979,21369.72154
1980,12450.60416
1981,7664.543792
1982,16536.63445
1983,16618.11459
1984,18888.76196
1985,11943.07728
1986,5931.120659
1987,13014.33704
1988,8451.040362
1989,20509.53915
1990,14204.72071
1991,12108.60667
1992,11593.37362
1993,15600.43632
1994,11843.85808
1995,17529.25389
1996,17379.46293
1997,12806.99379
1998,17493.62712
1999,14068.7924
2000,12141.51042
2001,8114.860488
2002,10563.92416
2003,25959.158
2004,13795.02552
2005,12405.30074
2006,14503.07629
2007,10865.29414
2008,12620.48277
2009,15104.56075
2010,14196.74929
2011,7341.39316
2012,7774.963862
2013,15340.41769
2014,16151.28592
2015,19406.02912
2016,21211.58493
2017,10800.18945
2018,27737.30647
2019,21337.97418
2020,27967.97844
