Year,Annual Average Flux kg P per d
1974,3671.60065
1975,5784.044604
1976,2471.42426
1977,2567.505094
1978,3971.240398
1979,4436.77538
1980,2296.77971
1981,1510.254328
1982,2979.835508
1983,2974.084583
1984,3320.866936
1985,2214.841655
1986,1120.003843
1987,2040.207503
1988,1269.179001
1989,3138.765877
1990,1990.431107
1991,1510.604527
1992,1437.130731
1993,1979.975101
1994,1562.81839
1995,2786.033902
1996,2939.562089
1997,1960.024588
1998,3136.603519
1999,2345.517754
2000,1838.457148
2001,1223.731118
2002,1517.936699
2003,3987.516494
2004,1861.255809
2005,1558.685866
2006,1916.818972
2007,1294.161
2008,1545.493333
2009,1884.707015
2010,1757.058289
2011,809.8981379
2012,883.3368143
2013,1906.316211
2014,2017.202508
2015,2520.639519
2016,2801.456837
2017,1227.652212
2018,3765.468543
2019,2488.051167
2020,3363.549047
