Year,Annual Average Flux kg N per d
1974,3831.47316
1975,10141.90777
1976,3437.752425
1977,3763.482224
1978,7419.443423
1979,9368.51832
1980,3570.500755
1981,1323.348443
1982,4949.246328
1983,4694.250478
1984,5055.868495
1985,4008.691379
1986,2587.760656
1987,4647.524348
1988,2195.601425
1989,5320.675885
1990,3787.18788
1991,2285.804347
1992,2957.146796
1993,3803.148757
1994,2882.566485
1995,1769.633145
1996,5699.935243
1997,3074.948339
1998,4288.297394
1999,5443.721679
2000,4278.912871
2001,1743.193472
2002,1926.524872
2003,8761.702678
2004,6626.2774
2005,2799.602449
2006,5253.683994
2007,1958.705478
2008,2399.395202
2009,4257.099441
2010,3633.78021
2011,3604.280584
2012,2297.565913
2013,5124.093875
2014,3729.971757
2015,4436.307622
2016,4518.372006
2017,2236.991712
2018,5686.968319
2019,4930.07791
