Year,Annual Average Flux kg P per d
1974,4818.480411
1975,5103.088401
1976,3111.411388
1977,2864.10852
1978,2599.144624
1979,2708.851846
1980,1418.879367
1981,341.1771914
1982,1027.575627
1983,739.51826
1984,641.2312074
1985,540.6696442
1986,371.0835937
1987,550.1466178
1988,331.2463091
1989,617.4688498
1990,494.1597391
1991,327.2092016
1992,427.492192
1993,497.6123403
1994,396.6722117
1995,270.5648864
1996,811.955099
1997,425.5921766
1998,549.1849802
1999,729.5318778
2000,522.3427796
2001,223.7006176
2002,281.5736063
2003,966.3303037
2004,793.6382255
2005,337.4487066
2006,634.6948339
2007,237.2947137
2008,262.0451625
2009,436.7661229
2010,338.1115498
2011,373.4705219
2012,233.5749456
2013,466.4325657
2014,331.0244892
2015,393.9823729
2016,366.1293158
2017,203.5114933
2018,477.9475914
2019,388.7036136
