Year,Annual Average Flux kg N per d
1974,12919.87819
1975,15562.51818
1976,8719.342093
1977,9766.196957
1978,14067.01442
1979,16429.2791
1980,10593.9462
1981,6496.725828
1982,14229.2047
1983,14880.47923
1984,17279.49021
1985,9130.539584
1986,5495.440573
1987,11946.42783
1988,6940.918557
1989,18606.99936
1990,10888.74843
1991,9640.175445
1992,10745.11244
1993,11240.47775
1994,8169.101877
1995,12699.67051
1996,15008.0994
1997,8436.228583
1998,12293.22493
1999,15436.22838
2000,9077.416115
2001,6210.664752
2002,6619.699717
2003,16038.63341
2004,9447.041492
2005,7954.599134
2006,10594.36946
2007,6357.057858
2008,7504.755838
2009,10040.46857
2010,11371.03184
2011,5696.995603
2012,6821.741393
2013,12564.22402
2014,17887.64202
2015,16789.15824
2016,18833.27592
2017,9238.567059
2018,17334.46112
2019,12753.22556
2020,17180.07948
