Year,Annual Average Flux kg P per d
1974,2125.194847
1975,2326.136197
1976,1280.483129
1977,1455.435463
1978,2104.460526
1979,2551.901312
1980,1518.254805
1981,1164.571137
1982,2178.770642
1983,2106.678537
1984,2655.745963
1985,1404.605275
1986,962.7652765
1987,1596.000947
1988,1071.32723
1989,2565.880635
1990,1470.5398
1991,1417.508712
1992,1520.104033
1993,1367.598893
1994,1010.249445
1995,2080.721106
1996,2469.46249
1997,1013.8652
1998,1554.847918
1999,2883.37022
2000,1111.980021
2001,785.1762978
2002,699.8322825
2003,1863.017171
2004,1132.220446
2005,837.2678388
2006,1209.382064
2007,591.47414
2008,779.314495
2009,938.1769295
2010,1005.009874
2011,637.560842
2012,747.2387495
2013,1380.948947
2014,1667.223453
2015,1380.38602
2016,1736.861513
2017,871.036646
2018,1732.560162
2019,1032.011973
2020,1576.201464
