Year,Annual Average Flux (kg N/d)
1974,4029.107664
1975,6169.999729
1976,2927.74046
1977,3383.566729
1978,5466.403563
1979,6977.991393
1980,3403.551135
1981,1420.664732
1982,4906.025664
1983,5698.365705
1984,6717.086852
1985,3801.254051
1986,2240.111803
1987,5345.359507
1988,2357.187932
1989,7851.657337
1990,4759.021747
1991,2759.360997
1992,4651.467267
1993,4524.743583
1994,3075.181089
1995,4128.241203
1996,5442.953224
1997,3092.40905
1998,4450.842145
1999,6052.990917
2000,3998.207832
2001,2836.230924
2002,3473.29045
2003,6916.302248
2004,3909.141977
2005,3032.677361
2006,5016.279425
2007,2150.196824
2008,2234.781292
2009,3039.374852
2010,3278.112132
2011,2070.17305
2012,2241.694662
2013,3786.573989
2014,5929.325735
2015,5008.418739
2016,6417.697361
2017,3248.252931
2018,5007.866634
2019,4556.868326
