Year,Annual Average Flux (kg P/d)
1974,777.0523775
1975,1162.394173
1976,543.5681785
1977,628.9090745
1978,943.8386259
1979,1270.43318
1980,544.4548318
1981,271.019691
1982,815.7854892
1983,913.7857256
1984,1125.673134
1985,676.9758638
1986,347.012267
1987,823.248152
1988,313.3233508
1989,1119.558046
1990,605.8573716
1991,342.9220853
1992,622.250655
1993,510.4205408
1994,335.7991257
1995,517.5208846
1996,731.7947627
1997,342.2793378
1998,505.9477548
1999,1101.768724
2000,518.9547138
2001,329.6627906
2002,548.7278447
2003,950.0135864
2004,596.6688308
2005,363.085988
2006,797.5082438
2007,245.6763195
2008,260.5636122
2009,351.4471136
2010,370.9855383
2011,230.6907301
2012,245.6265197
2013,428.3131709
2014,672.8046713
2015,539.7026408
2016,805.4568774
2017,351.0221662
2018,535.2299096
2019,459.5847124
