Year,Flow Normalized TP load (kg P/d)
1982,2186.496994
1983,1952.98521
1984,1822.152914
1985,1767.721973
1986,1737.701684
1987,1714.846058
1988,1699.204609
1989,1669.51462
1990,1628.867014
1991,1581.396469
1992,1539.042441
1993,1518.364764
1994,1520.767978
1995,1518.061889
1996,1510.114927
1997,1528.587312
1998,1577.955933
1999,1609.233859
2000,1666.133324
2001,1740.867391
2002,1816.826255
2003,1883.323613
2004,1904.855391
2005,1871.178452
2006,1814.961948
2007,1749.27264
2008,1686.895313
2009,1627.73326
2010,1587.160732
2011,1566.557853
2012,1556.954724
2013,1546.511476
2014,1554.313127
2015,1587.004546
2016,1620.703612
2017,1647.114966
2018,1667.725714
2019,1707.682547
