Year,Annual Average TN Load (kg/N/d)
1982,15292.09497
1983,17155.01255
1984,18247.13674
1985,13366.61794
1986,8129.165743
1987,20084.32039
1988,8211.084155
1989,19172.03623
1990,17551.76797
1991,12831.50288
1992,12676.59117
1993,17942.1052
1994,13934.03677
1995,11824.43591
1996,20542.56437
1997,13040.44443
1998,15736.55726
1999,12070.97814
2000,11386.58205
2001,7553.450432
2002,6958.838462
2003,32169.47735
2004,19243.17443
2005,12689.95527
2006,13817.99841
2007,10337.1097
2008,8738.065965
2009,15765.99844
2010,16540.14412
2011,11130.90581
2012,8985.436063
2013,16902.60585
2014,15670.32801
2015,16294.38906
2016,20531.10061
2017,13546.91546
2018,24598.35698
2019,22083.40713
