Year,Annual Average TN Load (kg N/d)
1982,50963.95978
1983,54351.97208
1984,61132.47576
1985,38241.48886
1986,21795.83878
1987,50390.44477
1988,25960.23101
1989,66140.23208
1990,47404.25886
1991,37339.64599
1992,39666.5445
1993,49307.76285
1994,37022.17782
1995,46181.60151
1996,58373.07992
1997,37376.07585
1998,49974.25146
1999,47628.98984
2000,36603.71642
2001,24715.2066
2002,27615.75279
2003,81083.57101
2004,46394.38342
2005,36082.53251
2006,43931.72359
2007,29709.65852
2008,31098.08587
2009,43950.40261
2010,45386.03738
2011,26239.46762
2012,25823.83598
2013,48593.82155
2014,55638.58169
2015,57497.99516
2016,66993.65882
2017,36833.9249
2018,74677.9912
2019,60731.4752
2020,
