Year,Annual Average Flux (kg P/d)
1982,8237.432168
1983,8230.449843
1984,9311.721472
1985,5971.800829
1986,3430.232585
1987,6828.350783
1988,3658.863477
1989,9008.474854
1990,6009.98931
1991,4632.57512
1992,4941.384789
1993,5619.744837
1994,4341.613821
1995,6669.68399
1996,8454.520655
1997,4705.373104
1998,6964.093962
1999,7792.486267
2000,4744.374297
2001,3186.46106
2002,3687.139842
2003,10962.0846
2004,5936.734654
2005,4174.961989
2006,5544.30425
2007,3228.337949
2008,3468.334339
2009,4806.042396
2010,4690.271846
2011,2720.019738
2012,2677.199122
2013,5258.271041
2014,5766.805561
2015,5947.161634
2016,7306.427675
2017,3806.234994
2018,8615.275637
2019,6282.809912
