Year,Annual Average Flux kg N per d
1982,10342.84864
1983,12460.76207
1984,13191.26824
1985,9357.926564
1986,5541.405087
1987,15436.79604
1988,6015.48273
1989,13851.36034
1990,13764.58009
1991,10545.69853
1992,9719.44437
1993,14138.95644
1994,11051.47028
1995,10054.80276
1996,14842.62913
1997,9965.496086
1998,11448.25987
1999,6627.256465
2000,7107.669174
2001,5810.25696
2002,5032.31359
2003,23407.77467
2004,12616.89703
2005,9890.352821
2006,8564.314419
2007,8378.404218
2008,6338.670763
2009,11508.899
2010,12906.36391
2011,7526.625226
2012,6687.87015
2013,11778.51197
2014,11940.35625
2015,11858.08144
2016,16012.7286
2017,11309.92375
2018,18911.38866
2019,17153.32922
