Year,Annual Average Flux kg P per d
1982,1235.464902
1983,1496.382737
1984,1568.204232
1985,1134.708391
1986,629.3676047
1987,1818.747563
1988,673.787586
1989,1566.801446
1990,1449.001292
1991,1034.330594
1992,934.4071776
1993,1264.137962
1994,1036.074648
1995,1014.843211
1996,1501.746214
1997,963.6118018
1998,1217.50979
1999,732.2976914
2000,752.6396341
2001,624.1902359
2002,639.0694096
2003,3195.207049
2004,1552.951342
2005,1078.473589
2006,985.9001357
2007,859.7317748
2008,620.9177365
2009,1194.945215
2010,1219.106595
2011,668.3995058
2012,567.4220929
2013,1076.260146
2014,1078.55044
2015,1112.451081
2016,1596.523132
2017,1153.012477
2018,2104.069431
2019,1914.458446
