year,Flow Normalized TN load (kg N/d)
1982,15841.61945
1983,15537.40881
1984,15311.60964
1985,15094.03592
1986,14940.34139
1987,14809.85725
1988,14730.01468
1989,14736.43382
1990,14863.75958
1991,15002.89467
1992,15021.56892
1993,14819.25055
1994,14678.65813
1995,14557.60697
1996,14355.03939
1997,14063.70793
1998,13938.86225
1999,13877.72863
2000,13970.71445
2001,14209.582
2002,14598.15288
2003,15137.88071
2004,15769.86747
2005,16133.80038
2006,16339.7292
2007,16547.14297
2008,16761.3157
2009,16903.10131
2010,17078.40856
2011,17268.9913
2012,17434.80078
2013,17563.95376
2014,17682.71541
2015,17861.92066
2016,18090.1319
2017,18284.20624
2018,18457.10955
2019,18770.00454
