Year,Flow normalized TN Load (kg/d)
1982,47255.05855
1983,46530.47727
1984,45782.91249
1985,44992.89198
1986,44919.72089
1987,45070.42012
1988,45027.29147
1989,44807.99114
1990,44857.10064
1991,44912.43341
1992,44800.12642
1993,44124.17449
1994,43182.48838
1995,42138.63777
1996,41310.40709
1997,40740.6619
1998,40679.42826
1999,40797.37654
2000,41245.942
2001,41917.0523
2002,43032.4932
2003,44537.71782
2004,46236.66714
2005,47281.27708
2006,48014.27832
2007,48771.94505
2008,49554.09787
2009,50145.63692
2010,50821.28731
2011,51571.93935
2012,52409.12651
2013,52732.31718
2014,52632.26892
2015,52509.44185
2016,52588.46425
2017,52411.59366
2018,52393.3112
2019,52480.84584
2020,
