Year,Chlorophyll a (ug/L)
1983,8.08915329
1984,4.424558979
1985,5.629961738
1986,8.485591584
1987,7.840738304
1988,7.7358967
1989,9.295432264
1990,9.541078551
1991,9.19317576
1992,7.27977455
1993,9.254104795
1994,4.978247028
1995,4.809173368
2001,4.881603245
2002,6.009049321
2003,11.56260497
2004,7.8227397
2005,5.685842973
2006,9.716426948
2007,7.942427181
2008,6.976685964
2009,9.659123585
2010,9.332025464
2011,12.41505207
2012,14.09988148
2013,12.08466558
2014,18.18337345
2015,13.84816354
2016,8.264040571
2017,14.86461349
2018,21.7580926
2019,13.64551224
