Year,Chlorophyll a (ug/L)
1989,21.96437159
1990,13.1867068
1991,13.08857161
1992,8.124209061
1993,7.583446325
1994,7.705246411
1995,7.705246411
1996,20.43245833
2001,9.909299635
2002,11.79415699
2003,22.88980186
2004,14.54591062
2005,15.09371949
2006,17.73025816
2007,13.33960209
2008,9.548084572
2009,13.66141031
2010,16.20206006
2011,15.20927342
2012,12.46879633
2013,12.64353735
2014,21.13468652
2015,22.62637669
2016,17.64217829
2017,16.46804154
2018,16.50654626
2019,19.13058629
