Year,Annual Average Flux (kg N/d),Winter Average Flux (kg N/d),Spring Average Flux (kg N/d),Summer Average Flux (kg N/d),Fall Average Flux (kg N/d),Flow Normalized Annual Average Flux (kg N/d),Flow Normalized Winter Average Flux (kg N/d),Flow Normalized Spring Average Flux (kg N/d),Flow Normalized Summer Average Flux (kg N/d),Flow Normalized Fall Average Flux (kg N/d)
1974,16785.31133,23375.86408,18173.79611,15870.29378,9879.656483,15734.36194,25219.7013,15449.11698,10108.30242,12363.42959
1975,24725.01076,46177.46781,15531.38135,25913.17611,11644.44475,15631.90016,24978.4032,15277.91377,10074.31876,12396.30209
1976,11785.71989,19965.63744,11442.5686,3531.892661,12287.96308,15545.11142,24731.64812,15101.06805,10026.33023,12416.42639
1977,12450.62419,22953.39208,10066.48421,5672.789575,11312.23739,15381.98632,24429.50482,14883.07048,9984.160136,12422.47204
1978,19409.94084,35962.21265,26490.5971,8736.330656,6887.418607,15232.09435,24107.97576,14648.29028,9935.073416,12423.64617
1979,21369.72154,37389.12694,20297.27757,12477.8705,15651.2021,15067.3942,23756.15876,14376.64748,9898.631813,12419.51681
1980,12450.60416,26205.08341,13935.94325,4293.631536,5533.408647,14915.83408,23391.23579,14068.51622,9892.565605,12393.93267
1981,7664.543792,10124.12416,4579.110503,9043.309252,6931.563071,14643.9149,23019.13312,13665.55991,9786.123328,12276.2789
1982,16536.63445,28739.11974,21203.58553,7251.326575,9268.505101,14346.94052,22636.06613,13255.67852,9571.414766,12092.9395
1983,16618.11459,31715.83404,17372.0179,4091.022689,13629.98963,14000.21712,22168.94441,12805.45603,9297.677215,11893.38534
1984,18888.76196,34622.46987,20036.6044,16120.51474,4958.95392,13624.13618,21549.20703,12302.95736,8993.309971,11722.85179
1985,11943.07728,17558.07371,4976.137314,9702.197055,15582.23856,13257.51546,20864.60461,11779.37122,8797.561043,11737.82969
1986,5931.120659,9022.706139,4127.255748,5224.322553,5397.799347,13370.57928,20879.56861,11830.20376,8967.639907,11951.40052
1987,13014.33704,30752.28848,12619.40989,4248.423394,4818.54136,13644.37601,21715.32996,12198.23498,9054.031836,11769.64386
1988,8451.040362,14313.17709,6752.635295,5534.524992,7249.082024,13718.6433,22139.72229,12228.00462,9068.972611,11513.20455
1989,20509.53915,25102.01176,22900.02883,13268.9587,20892.97728,13654.34231,22384.36445,12203.20853,8920.163448,11283.64272
1990,14204.72071,24634.25509,16204.37168,3784.692654,12444.02776,13582.94126,22495.33905,12286.30488,8565.554924,11164.22011
1991,12108.60667,24768.41237,11974.00917,6979.727665,4986.027636,13486.61838,22605.30084,12293.23304,8171.603141,11061.59717
1992,11593.37362,14226.93074,12097.18251,6010.564972,14072.91806,13579.16145,22655.79091,12377.97648,8281.833135,11086.64793
1993,15600.43632,34997.77555,17794.6802,4158.760152,5896.061123,13547.83855,22477.01778,12460.17777,8453.475198,10982.97366
1994,11843.85808,22721.59774,9519.34041,8499.626715,6846.073553,13288.76805,21848.95507,12258.95807,8421.394076,10800.66242
1995,17529.25389,27311.43921,11699.41285,11771.78301,19483.66888,13024.35612,21283.46696,12018.09293,8301.15598,10663.31684
1996,17379.46293,22838.37551,10676.3788,18434.36611,17555.20767,12910.37976,20971.79639,11850.93703,8211.956329,10682.93772
1997,12806.99379,23670.3411,12299.2081,7154.357142,8334.709123,12944.02979,20961.41652,11795.34751,8268.724963,10912.43548
1998,17493.62712,46034.3397,15946.77109,4182.61708,4414.417225,13146.52377,21280.39385,11871.59156,8424.086645,11172.98834
1999,14068.7924,17239.15829,7786.111852,13493.53648,17756.99395,13407.27297,21671.87182,12048.85309,8643.951077,11429.31567
2000,12141.51042,25033.8115,8661.31517,8978.756987,5994.463528,13753.47511,22159.00028,12355.24743,8874.332829,11701.48616
2001,8114.860488,11081.81592,10837.69221,6415.104484,4218.924372,14138.1503,22792.16688,12792.96695,9100.108778,12040.86783
2002,10563.92416,11273.26179,4662.901881,3413.113524,22857.6983,14683.86936,23645.56896,13375.64669,9377.940283,12516.92127
2003,25959.158,31903.82284,33772.38497,26017.92638,12356.65604,15364.87967,24750.018,14075.93721,9753.677425,13069.90054
2004,13795.02552,16144.10545,9826.80236,16248.84373,12942.75115,16031.76979,25801.74349,14778.35451,10103.64386,13535.90858
2005,12405.30074,21522.85686,11356.64383,6256.29055,10672.22101,16377.7074,26290.8025,15185.22731,10345.97237,13891.36772
2006,14503.07629,10219.93319,13174.61332,9471.222307,25038.98471,16588.19971,26394.81446,15414.96765,10530.20459,14213.24688
2007,10865.29414,25541.20314,10691.12889,3084.931724,4461.061185,16779.97407,26463.17299,15592.92241,10691.42825,14569.97421
2008,12620.48277,12135.00266,12094.98569,13444.13016,12796.82368,16975.90212,26659.94178,15649.32739,10738.03601,14947.14531
2009,15104.56075,20705.71281,12065.01397,4531.577976,23204.66387,17145.22914,27014.1441,15604.21107,10818.70865,15341.64416
2010,14196.74929,35087.09397,9858.954343,4762.690356,7485.246459,17325.11248,27479.03862,15523.76664,10884.1363,15614.66602
2011,7341.39316,9476.142166,7822.401644,4269.861837,7848.802932,17488.02048,27884.98937,15462.80218,10970.13232,15838.16588
2012,7774.963862,11047.66403,6475.424596,6746.469739,6851.744486,17668.92866,28226.02335,15462.33556,11134.4363,15943.68576
2013,15340.41769,14967.77346,18654.10209,19624.70683,8143.005711,17684.38437,28410.82934,15508.33452,11243.25583,15784.64866
2014,16151.28592,33837.71377,15825.59195,6593.175032,8729.610318,17599.12375,28317.83567,15482.25837,11225.91698,15580.49004
2015,19406.02912,24763.52569,12029.30177,4863.465045,36004.10947,17497.53571,28125.25645,15425.14803,11192.86344,15455.38638
2016,21211.58493,36054.45855,13039.25015,10311.77683,25608.95506,17485.49779,28012.95365,15379.49508,11154.21115,15442.45484
2017,10800.18945,13254.06103,19585.34675,5733.437211,4776.748665,17338.63416,27915.28906,15339.44378,11085.13332,15222.86744
2018,27737.30647,12622.19779,14357.76084,32880.08987,50615.15821,17260.05232,27832.53335,15290.9077,11011.71469,15113.48634
2019,21337.97418,45221.71543,21790.57222,6728.480213,12135.26019,17189.52946,27756.2443,15234.59975,10958.19145,15017.5443
2020,27967.97844,34322.86027,27029.40718,16593.49633,34118.73502,17131.24671,27685.8886,15164.5426,10908.04267,14809.38486
