Year,Flow Normalized TP Load (kg P/d)
1974,2695.253622
1975,2715.356669
1976,2738.379268
1977,2751.560075
1978,2767.228324
1979,2779.724327
1980,2786.481332
1981,2792.406561
1982,2810.597793
1983,2803.032931
1984,2731.788312
1985,2629.853531
1986,2545.446267
1987,2460.127907
1988,2389.186526
1989,2303.119034
1990,2354.934034
1991,2336.688301
1992,2287.601474
1993,2228.534398
1994,2160.357334
1995,2071.727695
1996,1964.140814
1997,1858.47781
1998,1787.478807
1999,1740.72524
2000,1710.070006
2001,1677.794938
2002,1654.167407
2003,1646.083024
2004,1656.105216
2005,1662.398868
2006,1670.047644
2007,1687.852947
2008,1691.578231
2009,1688.092615
2010,1697.803555
2011,1719.814707
2012,1744.193483
2013,1736.855967
2014,1702.742357
2015,1665.918328
2016,1634.519103
2017,1595.164507
2018,1562.066335
2019,1527.451866
2020,
