Year,Flow Normalized Annual Average Flux (kg N/d)
1974,15734.36194
1975,15631.90016
1976,15545.11142
1977,15381.98632
1978,15232.09435
1979,15067.3942
1980,14915.83408
1981,14643.9149
1982,14346.94052
1983,14000.21712
1984,13624.13618
1985,13257.51546
1986,13370.57928
1987,13644.37601
1988,13718.6433
1989,13654.34231
1990,13582.94126
1991,13486.61838
1992,13579.16145
1993,13547.83855
1994,13288.76805
1995,13024.35612
1996,12910.37976
1997,12944.02979
1998,13146.52377
1999,13407.27297
2000,13753.47511
2001,14138.1503
2002,14683.86936
2003,15364.87967
2004,16031.76979
2005,16377.7074
2006,16588.19971
2007,16779.97407
2008,16975.90212
2009,17145.22914
2010,17325.11248
2011,17488.02048
2012,17668.92866
2013,17684.38437
2014,17599.12375
2015,17497.53571
2016,17485.49779
2017,17338.63416
2018,17260.05232
2019,17189.52946
2020,17131.24671
