Year,Flow Normalized Annual Average Flux (kg P/d)
1982,7718.573932
1983,7363.936553
1984,7061.502558
1985,6806.052569
1986,6560.57941
1987,6353.879875
1988,6218.528306
1989,6062.363437
1990,6011.476878
1991,5781.410735
1992,5627.403782
1993,5618.381586
1994,5609.583015
1995,5559.244674
1996,5495.347566
1997,5468.411238
1998,5510.987074
1999,5537.738983
2000,5582.082948
2001,5617.059842
2002,5666.441554
2003,5735.253593
2004,5787.254369
2005,5748.847705
2006,5680.11705
2007,5615.136038
2008,5551.043619
2009,5503.775883
2010,5511.936381
2011,5573.219468
2012,5657.09824
2013,5657.15638
2014,5574.418663
2015,5495.716613
2016,5447.13512
2017,5371.239648
2018,5306.166515
2019,5260.995911
