"Year","WilmingtonSLR"
1935,-0.167625
1936,-0.0964166666666667
1937,-0.105083333333333
1938,-0.125583333333333
1939,-0.111333333333333
1940,-0.157916666666667
1941,-0.203166666666667
1942,-0.129083333333333
1943,-0.109583333333333
1944,-0.0760833333333333
1945,-0.069
1946,-0.0375833333333333
1947,-0.0604166666666667
1948,0.00366666666666667
1949,-0.0628333333333333
1950,-0.128166666666667
1951,-0.134083333333333
1952,-0.08975
1953,-0.111
1954,-0.12575
1955,-0.0624166666666667
1956,-0.102916666666667
1957,-0.053
1958,-0.0828333333333333
1959,-0.0706666666666667
1960,0.011
1961,-0.0873333333333333
1962,-0.079625
1963,-0.113916666666667
1964,-0.0805
1965,-0.104666666666667
1966,-0.0888333333333333
1967,-0.085
1968,-0.13025
1969,-0.0605833333333333
1970,-0.057
1971,-0.03575
1972,-0.00191666666666667
1973,0.0298333333333333
1974,-0.00108333333333333
1975,0.0283333333333333
1976,-0.0845833333333333
1977,-0.0548333333333333
1978,-0.02475
1979,-0.0491666666666667
1980,-0.07725
1981,-0.0954166666666667
1982,-0.0523333333333333
1983,0.0136666666666667
1984,0.0118333333333333
1985,-0.02525
1986,-0.03475
1987,-0.0260833333333333
1988,-0.07225
1989,-0.0270833333333333
1990,-0.0308333333333333
1991,0.0111666666666667
1992,0.00533333333333333
1993,0.0129166666666667
1994,-0.01975
1995,0.0575833333333333
1996,0.0148333333333333
1997,0.008
1998,0.03675
1999,0.0684166666666667
2000,0.0119166666666667
2001,-0.025
2002,-0.0123333333333333
2003,0.0294166666666667
2004,-0.0295
2005,0.0215
2006,0.00983333333333333
2007,-0.0155833333333333
2008,-0.00533333333333333
2009,0.0409166666666667
2010,0.0275833333333333
2011,-0.000500000000000001
2012,0.0454166666666667
2013,0.047
2014,0.118333333333333
2015,0.123083333333333
2016,0.158083333333333
2017,0.0864166666666667
2018,0.1505
2019,0.172666666666667
2020,0.18775
2021,0.15075
2022,0.136833333333333
2023,0.142
