"","year","mean_salinity"
"1",1970,NA
"2",1971,6.29791666666667
"3",1972,6.153125
"4",1973,7.57552083333333
"5",1974,7.9125
"6",1975,NA
"7",1976,NA
"8",1977,NA
"9",1978,NA
"10",1979,NA
"11",1980,NA
"12",1981,5.33333333333333
"13",1982,2.115625
"14",1983,2.77825630252101
"15",1984,1.8812587535014
"16",1985,7.00426470588235
"17",1986,6.13906746031746
"18",1987,5.15379464285714
"19",1988,8.95563474658869
"20",1989,5.52919407894737
"21",1990,7.60821278561828
"22",1991,7.05673703352309
"23",1992,7.9562784065239
"24",1993,6.97046020873328
"25",1994,10.9176903842345
"26",1995,7.03887738135027
"27",1996,6.76999681828726
"28",1997,8.78215277777778
"29",1998,6.20845702864935
"30",1999,6.44223654779014
"31",2000,7.80603188109285
"32",2001,12.0519277518591
"33",2002,14.4318040279689
"34",2003,5.7052357290924
"35",2004,7.3456524148914
"36",2005,6.50077909561703
"37",2006,9.07732475723473
"38",2007,11.0845392986026
"39",2008,14.4534207739855
"40",2009,12.8208067274625
"41",2010,7.84680960213033
"42",2011,9.12830887939221
"43",2012,9.21476049382716
"44",2013,8.05694067620651
"45",2014,4.92987439229752
"46",2015,4.43067351961645
"47",2016,3.31619503968254
"48",2017,8.65264852563241
"49",2018,3.88495091740928
"50",2019,6.87642269895295
"51",2020,5.42415942028985
