"","year","mean_temperature"
"1",1970,19.2061781609195
"2",1971,18.6988624369272
"3",1972,18.1226851851852
"4",1973,18.2830873842593
"5",1974,10.9234375
"6",1975,18.131746031746
"7",1976,18.1154938271605
"8",1977,17.7801316738817
"9",1978,17.7771883753501
"10",1979,17.3522005508299
"11",1980,18.4975642230576
"12",1981,16.6666666666667
"13",1982,17.6362540849673
"14",1983,16.6817200954456
"15",1984,17.0993259803922
"16",1985,18.1363372893017
"17",1986,19.1496527777778
"18",1987,18.2752968648473
"19",1988,17.929905782976
"20",1989,18.440949378655
"21",1990,19.4436085909498
"22",1991,18.5652982026144
"23",1992,18.6797943774284
"24",1993,19.4323398461777
"25",1994,19.3743435942348
"26",1995,18.1681034042568
"27",1996,17.4210365365575
"28",1997,19.288041091954
"29",1998,19.1183692895845
"30",1999,17.1790967936334
"31",2000,17.8566621997379
"32",2001,17.38942312952
"33",2002,18.5799742726117
"34",2003,17.6816134910529
"35",2004,19.1277676395851
"36",2005,19.2093070489137
"37",2006,19.2114405679571
"38",2007,19.8510991636856
"39",2008,18.8871406381248
"40",2009,18.5864405525146
"41",2010,19.1311307348232
"42",2011,19.5392283950617
"43",2012,20.6816226851852
"44",2013,18.4329283950617
"45",2014,17.6638823556844
"46",2015,20.0720700666081
"47",2016,17.5700025352734
"48",2017,20.2616798859718
"49",2018,19.1024986929022
"50",2019,18.4822861394558
"51",2020,11.9416666666667
