"","year","mean_dissolvedoxygen"
"1",1971,6.85130341880342
"2",1972,6.83861111111111
"3",1973,6.29902777777778
"4",1974,7.0425
"5",1978,9.16197916666667
"6",1979,10.3
"7",1980,9.835
"8",1981,9.6375
"9",1982,10.2357638888889
"10",1983,9.28041666666667
"11",1984,10.1292708333333
"12",1985,9.0974537037037
"13",1986,9.23472222222222
"14",1987,8.89458333333333
"15",1988,9.25694444444444
"16",1989,9.20263480392157
"17",1990,9.34585084033613
"18",1992,8.76003676470588
"19",1993,8.74218019005848
"20",1994,8.79472555056098
"21",1995,9.33066006450657
"22",1996,9.00035989688273
"23",1997,9.6578765117158
"24",1998,8.96723663076342
"25",1999,9.01650793650794
"26",2000,9.20555555555556
"27",2001,8.96000496031746
"28",2002,8.72089285714286
"29",2003,9.39315972222222
"30",2004,9.4473330026455
"31",2005,9.15845734126984
"32",2006,9.29053987706193
"33",2007,9.38083333333333
"34",2008,9.50295833333333
"35",2009,9.89338955026455
"36",2010,10.0030352418745
"37",2011,9.38217757936508
"38",2012,9.49341501145913
"39",2013,9.61510978835979
"40",2014,9.73796077269292
"41",2015,9.47165178571429
"42",2016,9.01486607142857
"43",2017,9.37835886805555
"44",2018,9.56720650297619
"45",2019,9.62775297619048
"46",2020,11.5285714285714
