"","year","mean_temperature"
"1",1971,16.2452516619183
"2",1972,17.3582561728395
"3",1973,20.0734182098765
"4",1974,12.4277777777778
"5",1978,18.2916666666667
"6",1979,19
"7",1980,17.3780555555556
"8",1981,17
"9",1982,15.0517939814815
"10",1983,17.1525231481481
"11",1984,16.1795910493827
"12",1985,18.901412037037
"13",1986,18.2685185185185
"14",1987,18.0034722222222
"15",1988,16.5925925925926
"16",1989,16.1422794117647
"17",1990,17.6647022727913
"18",1992,18.4878370098039
"19",1993,18.343019005848
"20",1994,19.0939786148377
"21",1995,17.7752931581286
"22",1996,17.684581577514
"23",1997,15.0759878117914
"24",1998,18.4068209089191
"25",1999,17.7963392857143
"26",2000,15.8583994708995
"27",2001,17.4798743386243
"28",2002,17.325732473545
"29",2003,16.8987533068783
"30",2004,16.8137152777778
"31",2005,18.7485282029478
"32",2006,16.2668214869281
"33",2007,17.9784722222222
"34",2008,17.0018849206349
"35",2009,16.2552281746032
"36",2010,17.3463629062736
"37",2011,17.8042741402116
"38",2012,17.9443072956455
"39",2013,16.1078277116402
"40",2014,16.72031837293
"41",2015,18.1489955357143
"42",2016,18.9394692460317
"43",2017,18.9764666071429
"44",2018,19.5429748869048
"45",2019,18.2561755952381
"46",2020,8.2
