"","year","mean_dissolvedoxygen"
"1",1971,9
"2",1974,7.9
"3",1975,6.47619047619048
"4",1976,6.71111111111111
"5",1977,7.55
"6",1978,7.725
"7",1979,7.3875
"8",1980,6.54166666666667
"9",1981,7.825
"10",1982,7.15
"11",1983,6.95833333333333
"12",1984,7.08333333333333
"13",1985,7.11666666666667
"14",1986,6.39583333333333
"15",1987,6.7125
"16",1988,7.5225
"17",1989,7.13541666666667
"18",1990,6.86666666666667
"19",1991,6.51583333333333
"20",1992,6.82395833333333
"21",1993,7.17083333333333
"22",1994,6.89166666666667
"23",1995,5.99791666666667
"24",1996,7.02569444444444
"25",1997,6.66909722222222
"26",1998,6.39583333333333
"27",1999,6.65416666666667
"28",2000,7.51111111111111
"29",2001,6.73472222222222
"30",2002,6.80486111111111
"31",2003,5.96875
"32",2004,6.63888888888889
"33",2005,6.88888888888889
"34",2006,6.54513888888889
"35",2007,6.48402777777778
"36",2008,6.25694444444444
"37",2009,6.40902777777778
"38",2010,6.55222222222222
"39",2011,6.83194444444444
"40",2012,6.04513888888889
"41",2013,6.75847222222222
"42",2014,6.45277777777778
"43",2015,6.53263888888889
"44",2016,6.47569444444444
"45",2017,7.04767728472222
"46",2018,7.251875
"47",2019,7.35
"48",2020,9.5
