"","year","mean_salinity"
"1",1971,NA
"2",1974,NA
"3",1975,NA
"4",1976,NA
"5",1977,NA
"6",1978,NA
"7",1979,NA
"8",1980,NA
"9",1981,8.16666666666667
"10",1982,4.95833333333333
"11",1983,4.125
"12",1984,2.125
"13",1985,6.71875
"14",1986,7.66666666666667
"15",1987,8.16666666666667
"16",1988,5.29166666666667
"17",1989,4.3
"18",1990,4.0875
"19",1991,6.34375
"20",1992,5.05729166666667
"21",1993,8.61166666666667
"22",1994,5.06875
"23",1995,4.48333333333333
"24",1996,1.32395833333333
"25",1997,9.6375
"26",1998,7.23
"27",1999,5.75902777777778
"28",2000,7.37013888888889
"29",2001,11.9388888888889
"30",2002,10.9536111111111
"31",2003,2.64375
"32",2004,11.7013888888889
"33",2005,9.35222222222222
"34",2006,8.22263888888889
"35",2007,18.3702777777778
"36",2008,15.065
"37",2009,13.1811111111111
"38",2010,11.9943611111111
"39",2011,16.1140972222222
"40",2012,14.6444444444444
"41",2013,10.8673611111111
"42",2014,8.84527777777778
"43",2015,8.06826388888889
"44",2016,10.5056944444444
"45",2017,11.774276125
"46",2018,3.53791666666667
"47",2019,6.17625
"48",2020,2.36666666666667
