"","year","mean_temperature"
"1",1971,14
"2",1974,15
"3",1975,21.5714285714286
"4",1976,17.2222222222222
"5",1977,18.5416666666667
"6",1978,17.7708333333333
"7",1979,17.5
"8",1980,18.25
"9",1981,17.5416666666667
"10",1982,18.0833333333333
"11",1983,18.6666666666667
"12",1984,16.1666666666667
"13",1985,17.1666666666667
"14",1986,20.0208333333333
"15",1987,19.2796296296296
"16",1988,17.837037037037
"17",1989,18.1798611111111
"18",1990,18.6590277777778
"19",1991,19.5628703703704
"20",1992,18.7637152777778
"21",1993,19.7231481481481
"22",1994,19.5427083333333
"23",1995,20.2092592592593
"24",1996,18.2203703703704
"25",1997,19.1378472222222
"26",1998,19.3516666666667
"27",1999,19.3194444444444
"28",2000,17.4333333333333
"29",2001,19.10625
"30",2002,19.0345833333333
"31",2003,19.7125
"32",2004,19.9625
"33",2005,19.4833333333333
"34",2006,17.9833333333333
"35",2007,20.15
"36",2008,20.3895833333333
"37",2009,20.0548611111111
"38",2010,19.6505555555556
"39",2011,19.415625
"40",2012,21.0256944444444
"41",2013,18.1774801587302
"42",2014,19.3597222222222
"43",2015,19.7430555555556
"44",2016,20.25
"45",2017,19.9594903472222
"46",2018,18.7304166666667
"47",2019,18.8583333333333
"48",2020,12.5666666666667
