"","year","mean_dissolvedoxygen"
"1",1971,6.663125
"2",1972,6.455625
"3",1973,6.0375
"4",1974,6.97666666666667
"5",1975,9.1625
"6",1976,9.24895833333333
"7",1977,8.103125
"8",1978,8.834375
"9",1979,8.02083333333333
"10",1980,9.15416666666667
"11",1981,9.25123106060606
"12",1982,8.27875
"13",1983,8.60847222222222
"14",1984,8.14804563492063
"15",1985,8.06306828703704
"16",1986,8.34953703703704
"17",1987,8.21842592592593
"18",1988,8.71388888888889
"19",1989,8.16204861111111
"20",1990,8.00883031320531
"21",1992,8.35299214674215
"22",1993,8.02476648351648
"23",1994,8.62910943223443
"24",1995,8.45192116910867
"25",1996,9.12107753357753
"26",1997,9.17624007936508
"27",1998,8.36083333333333
"28",1999,8.4432922979798
"29",2000,9.06126240079365
"30",2001,9.25837053571429
"31",2002,8.41195436507937
"32",2003,8.34700099206349
"33",2004,8.98583333333333
"34",2005,8.98417328042328
"35",2006,8.77662698412698
"36",2007,9.2724503968254
"37",2008,9.14582341269841
"38",2009,9.13001488095238
"39",2010,9.08259176587302
"40",2011,9.17229910714286
"41",2012,8.69870287698413
"42",2013,8.92467757936508
"43",2014,9.12220486111111
"44",2015,8.8468642526455
"45",2016,9.32293650793651
"46",2017,9.19110294054233
"47",2018,8.69743443253968
"48",2020,10.552380952381
