"","year","mean_temperature"
"1",1971,16.5072916666667
"2",1972,17.4712962962963
"3",1973,19.6854166666667
"4",1974,19.4433641975309
"5",1975,16
"6",1976,17.25
"7",1977,18.890625
"8",1978,18.1328125
"9",1979,16.8020833333333
"10",1980,17.0208333333333
"11",1981,15.2763047138047
"12",1982,16.7176851851852
"13",1983,17.8891975308642
"14",1984,16.9448412698413
"15",1985,19.2731533564815
"16",1986,19.1053240740741
"17",1987,17.6041666666667
"18",1988,17.4016203703704
"19",1989,15.9091746794872
"20",1990,17.8068147130647
"21",1992,18.8213141025641
"22",1993,18.5223901098901
"23",1994,18.0996336996337
"24",1995,17.9653540903541
"25",1996,15.9103785103785
"26",1997,18.1884424603175
"27",1998,18.534255952381
"28",1999,17.5022569444444
"29",2000,17.5738095238095
"30",2001,17.7144965277778
"31",2002,18.4237103174603
"32",2003,16.6049553571429
"33",2004,17.6564285714286
"34",2005,17.9439566798942
"35",2006,17.2485515873016
"36",2007,17.1393402777778
"37",2008,17.8317113095238
"38",2009,17.9200793650794
"39",2010,18.4011135912698
"40",2011,17.6322321428571
"41",2012,19.9460342261905
"42",2013,17.4527703373016
"43",2014,18.2690203373016
"44",2015,18.7935648148148
"45",2016,17.8483697089947
"46",2017,18.5228567559028
"47",2018,18.6075754507937
"48",2020,10.8169642857143
