Year,Annual Average Flow (m3/s)
1974,159.1848974
1975,239.6170764
1976,111.8776163
1977,122.128774
1978,196.7445952
1979,221.4697017
1980,125.354501
1981,73.17468762
1982,173.679011
1983,184.1864229
1984,218.8017961
1985,129.1206301
1986,60.72489518
1987,147.4224673
1988,88.44279542
1989,237.9957236
1990,157.7948894
1991,132.2024339
1992,126.7482933
1993,174.3975607
1994,129.6412722
1995,211.2193137
1996,211.3902097
1997,145.2836533
1998,226.7915621
1999,163.8866576
2000,124.7666556
2001,79.08313338
2002,102.2903018
2003,274.4212735
2004,128.7882668
2005,110.0062933
2006,128.5972727
2007,95.03420689
2008,107.9489247
2009,128.6803613
2010,123.4519854
2011,56.56999923
2012,60.93909128
2013,132.246422
2014,138.3664296
2015,164.8306559
2016,187.1938029
2017,91.51655635
2018,257.4004438
2019,191.151281
2020,250.6772163
