Year,Annual Average Flow (m3/s)
1974,682.3940983
1975,1002.089963
1976,496.2536896
1977,481.3462557
1978,890.2347895
1979,1035.623407
1980,550.9172288
1981,259.0836288
1982,678.9641001
1983,788.489143
1984,885.6718442
1985,558.3801598
1986,304.7206735
1987,815.497954
1988,359.118991
1989,983.1002473
1990,714.0754081
1991,538.2024252
1992,569.9145062
1993,768.9735316
1994,581.0618937
1995,707.5326661
1996,973.4484373
1997,604.9181242
1998,888.5640588
1999,736.9547077
2000,544.5615076
2001,363.7647196
2002,381.2625776
2003,1235.126201
2004,675.3388648
2005,500.9778744
2006,592.2710983
2007,402.5218318
2008,384.2954752
2009,589.541437
2010,612.9840441
2011,347.2894061
2012,325.389931
2013,607.2452266
2014,680.1987398
2015,699.1228963
2016,840.4358356
2017,478.0804504
2018,960.0728105
2019,786.4449435
